산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,41.5,6.4,21.7,182.0,169.0,13.0,2892,2686,207,5508,10221341
농업임업및어업,45.2,8.3,22.4,181.5,175.4,6.1,2746,2659,87,6437,24086
광업,49.8,8.3,23.0,194.0,175.3,18.7,3395,3116,279,5286,12094
제조업,40.7,7.0,22.2,193.3,169.7,23.7,2984,2618,366,7544,3102942
전기가스증기및수도사업,41.8,14.2,21.4,182.0,169.9,12.1,4438,4100,337,16776,61232
하수폐기물처리원료재생및환경복원업,47.1,6.7,22.6,190.4,175.7,14.8,2846,2562,284,3263,64284
건설업,43.5,5.3,21.9,180.2,171.5,8.6,3050,2890,160,2876,543896
도매및소매업,39.9,5.5,21.9,180.8,173.0,7.8,2722,2608,114,4250,1026442
운수업,47.6,8.1,21.9,184.3,167.3,17.0,2679,2393,286,4745,584672
숙박및음식점업,40.3,3.0,22.5,189.1,177.7,11.4,1884,1746,139,1039,306638
출판영상방송통신및정보서비스업,37.0,6.4,21.0,171.4,166.4,5.0,3494,3398,95,5488,432246
금융및보험업,39.0,11.0,20.9,171.1,166.2,5.0,4092,3974,118,16622,410262
부동산업및임대업,54.4,4.6,19.9,193.2,190.6,2.6,2255,2193,62,2172,257504
전문과학및기술서비스업,39.2,7.0,21.1,173.0,166.7,6.3,3659,3557,102,8030,767225
사업시설관리및사업지원서비스업,41.7,4.8,21.3,177.7,166.1,11.6,2431,2261,170,2693,799908
교육서비스업,42.3,7.9,20.7,164.8,160.3,4.5,3200,3138,62,2587,431796
보건업및사회복지서비스업,40.9,4.8,21.7,173.3,165.9,7.4,2354,2229,125,2278,1034123
예술스포츠및여가관련서비스업,40.8,5.4,21.9,178.7,168.8,9.9,2451,2284,167,2062,89567
협회및단체수리및기타개인서비스업,44.8,4.9,22.0,167.1,160.7,6.4,2158,2066,92,2526,272424
