산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,39.0,6.2,22.5,192.8,177.6,15.2,2360,2192,169,5095,7698676
농업임업및어업,43.6,9.0,22.6,183.6,178.9,4.7,2483,2439,44,6175,16892
광업,46.7,8.8,23.3,192.7,174.9,17.8,2621,2417,204,4940,13493
제조업,38.6,6.5,23.0,202.7,175.6,27.1,2274,1987,287,5996,2472717
전기가스증기및수도사업,41.5,14.9,21.5,183.6,169.4,14.2,3598,3286,313,15343,54054
하수폐기물처리원료재생및환경복원업,43.8,5.4,23.7,201.0,184.4,16.6,2264,2076,188,2834,49435
건설업,40.7,5.4,22.9,189.3,182.4,6.9,2418,2321,97,3190,440409
도매및소매업,36.8,5.2,22.7,189.1,182.8,6.3,2339,2270,68,4300,755864
운수업,45.3,6.9,22.2,201.2,175.1,26.1,2040,1748,291,4094,515761
숙박및음식점업,37.8,3.4,23.4,202.3,192.9,9.4,1582,1503,79,1590,183586
출판영상방송통신및정보서비스업,36.6,7.5,21.7,179.1,170.6,8.5,3058,2949,109,6223,321809
금융및보험업,37.3,10.4,21.0,172.7,167.7,5.0,3136,3042,94,13294,369053
부동산업및임대업,51.1,4.3,20.5,219.8,217.6,2.2,1733,1684,49,1879,215613
전문과학및기술서비스업,36.9,5.4,21.6,177.2,171.7,5.5,2974,2901,73,4853,557908
사업시설관리및사업지원서비스업,37.2,4.7,21.9,186.9,171.4,15.5,2055,1907,149,3734,483805
교육서비스업,40.7,7.6,21.8,178.0,172.6,5.4,2776,2721,55,3316,355764
보건업및사회복지서비스업,36.2,4.7,23.0,189.3,180.4,8.8,2101,1998,103,3834,629048
예술스포츠및여가관련서비스업,38.0,4.9,21.9,183.8,171.4,12.4,2014,1863,151,3794,65642
협회및단체수리및기타개인서비스업,39.1,4.7,23.6,192.6,187.2,5.4,1921,1861,59,2681,197823
