산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,37.5,5.8,22.9,198.0,180.4,17.5,2014265,1852825,161440,5540260,6750196
농업수렵업및임업,41.3,11.0,22.8,185.9,178.0,7.9,2331849,2217038,114811,6936072,14057
어업,46.0,3.2,24.0,187.7,185.7,2.0,2127154,2086116,41038,4730708,3523
광업,45.4,7.6,24.0,201.0,181.0,19.9,2126503,1884765,241739,6061751,14340
제조업,37.0,6.2,23.5,205.4,177.1,28.3,1934598,1674915,259683,5776324,2609845
전기가스및수도사업,40.3,13.8,22.0,192.0,173.5,18.5,3161517,2738810,422707,12788235,49274
건설업,38.3,4.2,23.6,193.2,185.2,8.0,2015503,1946295,69207,3290002,414755
도매및소매업∼,34.9,4.9,23.2,193.5,184.2,9.3,2069412,2010224,59188,5096180,592969
숙박및음식점업,37.7,3.1,24.5,219.0,204.6,14.4,1476304,1379377,96927,2325666,172636
운수업,41.9,6.6,22.5,201.6,176.8,24.8,1840351,1582267,258084,4744987,456410
통신업,38.4,12.1,21.6,177.9,167.7,10.2,2828279,2678906,149373,11106578,66861
금융및보험업,35.8,10.1,21.2,175.5,168.0,7.5,2626740,2542958,83782,14414563,339770
부동산및임대업,48.5,3.8,20.5,240.3,237.3,3.0,1444347,1403851,40495,2811915,203905
사업서비스업,36.6,4.0,21.8,185.5,174.8,10.7,2141988,2066544,75444,3542489,750680
교육서비스업,38.8,7.7,22.1,175.6,171.0,4.6,2325596,2268527,57068,7003429,360561
보건및사회복지사업,34.5,4.6,23.3,195.1,185.4,9.7,1900792,1810919,89873,4408843,398470
오락문화및운동관련서비스업,35.9,5.1,23.1,192.7,181.5,11.3,2146555,2035116,111439,6463459,93308
기타공공수리및개인서비스업,38.8,5.0,23.8,196.4,187.3,9.1,1834091,1750248,83843,3734185,208832
