산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,41.1,6.2,22.4,184.2,175.2,9.0,2820,2607,212,5389,9643688
농업임업및어업,45.1,8.5,23.1,184.8,180.7,4.1,2669,2593,76,6210,22022
광업,49.2,8.3,23.5,197.3,180.9,16.4,3319,2971,348,5686,11981
제조업,40.4,6.9,22.9,194.1,175.4,18.7,2912,2537,375,7878,3070468
전기가스증기및수도사업,41.9,14.4,21.4,173.5,169.3,4.2,4292,3925,367,13587,58764
하수폐기물처리원료재생및환경복원업,46.4,6.5,23.1,189.7,180.1,9.7,2761,2519,242,2693,62968
건설업,43.2,5.1,22.6,183.1,177.0,6.1,2900,2760,140,2844,500305
도매및소매업,39.3,5.1,22.6,184.4,180.0,4.4,2659,2538,121,4144,949444
운수업,46.9,7.7,22.2,183.4,172.4,10.9,2597,2313,283,4581,504296
숙박및음식점업,39.6,3.0,22.5,184.5,179.3,5.2,1800,1677,123,1228,262539
출판영상방송통신및정보서비스업,36.6,6.0,22.0,176.9,174.3,2.7,3415,3317,98,4667,407648
금융및보험업,38.7,10.9,21.8,174.9,174.0,0.9,3856,3746,109,14145,392942
부동산업및임대업,54.6,4.6,20.4,197.8,196.7,1.0,2069,2012,57,1568,241927
전문과학및기술서비스업,38.5,6.6,22.0,177.5,174.6,2.8,3650,3517,133,6057,725923
사업시설관리및사업지원서비스업,41.6,4.5,22.3,182.3,174.0,8.3,2338,2174,164,2864,720243
교육서비스업,42.0,7.8,21.1,165.1,163.9,1.1,3107,3057,50,3009,404512
보건업및사회복지서비스업,40.3,4.6,22.3,176.2,173.3,2.9,2323,2198,126,2350,955952
예술스포츠및여가관련서비스업,39.4,5.1,21.9,176.3,169.9,6.5,2306,2124,181,2639,86235
협회및단체수리및기타개인서비스업,44.8,4.7,22.9,171.2,167.5,3.6,2074,1984,90,2345,265519
