산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,38.0,5.9,21.8,188.7,172.6,16.2,2258684,2095289,163394,5561367,7240948
농업수렵업및임업,41.9,8.4,21.8,176.6,172.4,4.2,2238874,2206146,32728,5072498,14540
어업,45.0,4.0,21.6,175.5,173.6,1.8,2111305,2097361,13944,4601720,4988
광업,48.0,7.4,22.5,182.6,171.9,10.8,2422808,2301056,121753,5797964,19709
제조업,37.6,6.3,22.4,199.9,171.4,28.5,2168286,1895183,273103,6254470,2592780
전기가스및수도사업,40.3,13.5,20.8,178.7,163.5,15.2,3360076,3067215,292860,14449456,54924
건설업,39.3,4.3,22.3,185.2,177.4,7.8,2277048,2191590,85458,3467034,450092
도매및소매업∼,35.9,4.9,22.0,181.9,175.3,6.6,2201442,2139382,62060,4547460,674163
숙박및음식점업,37.0,2.9,23.4,206.0,195.1,10.9,1580494,1496511,83982,1709217,178608
운수업,41.7,6.2,21.6,189.2,171.9,17.3,1989217,1793214,196003,4523412,514723
통신업,39.1,11.9,20.6,170.3,160.7,9.6,3156207,2999142,157065,11353488,113021
금융및보험업,36.2,9.9,20.1,164.3,158.5,5.7,2981458,2895026,86431,14919533,369880
부동산및임대업,49.1,4.0,19.6,225.8,222.3,3.5,1734427,1685736,48692,2077814,199482
사업서비스업,36.2,4.4,20.9,176.7,165.1,11.6,2491092,2381714,109377,4389534,850451
교육서비스업,39.4,7.3,20.8,166.6,161.9,4.6,2632810,2572511,60299,3664416,394397
보건및사회복지사업,35.1,4.8,22.1,184.6,175.0,9.6,2045681,1945799,99882,4197575,476455
오락문화및운동관련서비스업,36.8,6.4,21.7,182.3,171.3,11.0,2396875,2263118,133757,6087969,113619
기타공공수리및개인서비스업,39.1,4.9,23.2,190.2,181.3,8.9,1976700,1881815,94885,3206563,219115
