산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,38.5,6.2,22.8,194.8,180.4,14.3,2270,2115,156,5281,7377241
농업임업및어업,42.8,8.2,23.3,186.1,181.6,4.5,2332,2290,42,5894,15375
광업,45.7,8.0,23.3,194.8,177.4,17.5,2472,2298,174,5141,13664
제조업,38.0,6.6,23.2,202.7,178.1,24.5,2163,1908,255,6099,2470480
전기가스증기및수도사업,40.6,14.0,21.9,186.0,172.0,14.0,3443,3153,290,14419,54190
하수폐기물처리원료재생및환경복원업,43.7,5.0,24.0,203.8,186.2,17.6,2175,1996,179,2677,46850
건설업,40.3,4.9,23.1,189.8,183.3,6.5,2289,2210,79,3170,431426
도매및소매업,36.6,5.4,23.1,192.2,185.5,6.7,2216,2151,65,4421,687241
운수업,44.6,6.8,22.4,201.0,177.6,23.3,1958,1690,268,4396,474604
숙박및음식점업,37.5,3.3,23.8,206.2,196.6,9.6,1564,1484,80,1646,164822
출판영상방송통신및정보서비스업,36.4,7.7,22.3,182.7,174.9,7.8,2942,2840,103,6445,313587
금융및보험업,36.7,10.3,21.9,178.5,173.8,4.6,3011,2922,90,13648,357090
부동산업및임대업,50.4,4.4,20.5,224.3,220.9,3.4,1729,1680,49,2096,214312
전문과학및기술서비스업,36.6,5.4,22.2,181.1,175.7,5.4,2944,2874,70,4892,507749
사업시설관리및사업지원서비스업,36.8,4.8,22.1,192.3,176.3,16.0,2026,1877,149,4357,474835
교육서비스업,40.5,7.6,22.2,177.6,172.6,5.0,2707,2655,53,3294,336544
보건업및사회복지서비스업,35.7,4.7,23.0,190.0,181.7,8.4,2009,1914,94,3960,567817
예술스포츠및여가관련서비스업,37.6,4.7,21.5,185.5,172.9,12.6,1957,1807,150,4027,60334
협회및단체수리및기타개인서비스업,38.9,5.1,23.8,195.3,190.4,4.8,1904,1846,58,3013,186321
