산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,39.9,6.2,21.4,182.3,166.4,16.0,2567,2371,196,5170,8569535
농업임업및어업,43.5,8.9,21.4,172.8,168.1,4.7,2584,2521,63,5428,19200
광업,47.9,8.9,22.6,196.1,168.2,28.0,2803,2428,376,5163,12120
제조업,39.6,6.7,21.9,195.8,164.3,31.4,2503,2131,372,6640,2780795
전기가스증기및수도사업,41.5,14.4,20.6,174.7,161.7,13.1,3873,3579,294,13188,53434
하수폐기물처리원료재생및환경복원업,44.3,5.7,22.1,186.2,171.7,14.4,2400,2212,188,2476,54355
건설업,41.7,5.2,21.4,175.3,169.0,6.4,2636,2545,91,3229,502588
도매및소매업,38.1,5.1,21.7,181.1,172.9,8.3,2481,2383,98,4216,787616
운수업,45.0,7.3,21.6,183.4,165.2,18.2,2356,2119,237,5393,506009
숙박및음식점업,39.9,3.6,22.8,197.1,187.8,9.3,1705,1614,91,1545,210954
출판영상방송통신및정보서비스업,36.0,6.3,20.3,164.9,160.6,4.4,3197,3135,62,5117,365866
금융및보험업,37.6,10.1,20.0,164.5,159.8,4.7,3515,3421,94,13792,397821
부동산업및임대업,51.0,4.0,19.9,200.6,196.1,4.4,1871,1815,56,1548,219178
전문과학및기술서비스업,37.4,6.1,20.3,166.7,161.0,5.6,3306,3230,76,5529,627972
사업시설관리및사업지원서비스업,39.8,4.6,21.0,179.1,164.7,14.4,2086,1932,154,2902,580845
교육서비스업,41.1,8.0,20.2,163.7,159.1,4.6,2991,2938,53,2958,393310
보건업및사회복지서비스업,38.3,4.5,21.6,174.4,166.2,8.2,2267,2153,114,2683,753880
예술스포츠및여가관련서비스업,38.3,4.8,22.0,180.0,166.4,13.6,2209,2036,173,3469,75429
협회및단체수리및기타개인서비스업,42.0,4.5,22.1,175.7,169.1,6.6,2039,1961,77,2340,228162
