산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,41.6,6.3,21.6,180.8,168.0,12.7,3002,2779,222,5338,10353783
농업임업및어업,44.4,6.8,22.7,183.8,178.5,5.4,2638,2564,73,5286,24656
광업,50.6,8.0,23.3,198.3,174.7,23.6,3526,3129,397,5728,12318
제조업,41.1,7.1,22.2,193.3,169.0,24.4,3054,2648,406,7253,3116644
전기가스증기및수도사업,42.0,14.0,21.3,179.7,169.1,10.6,4399,4065,334,15330,64094
하수폐기물처리원료재생및환경복원업,46.6,6.6,22.6,190.3,173.8,16.5,3050,2739,311,3755,65375
건설업,43.8,5.1,21.8,177.8,170.9,7.0,3197,2997,200,2965,559063
도매및소매업,40.1,5.1,21.9,180.0,172.4,7.6,2924,2800,124,3909,1040702
운수업,47.7,8.0,21.6,182.7,166.5,16.2,2857,2566,290,4968,552762
숙박및음식점업,39.5,2.7,21.9,182.6,172.0,10.6,1915,1776,139,1077,308955
출판영상방송통신및정보서비스업,36.5,6.2,20.9,171.1,164.8,6.3,3639,3497,142,6032,428506
금융및보험업,39.6,11.5,20.8,170.4,165.8,4.6,4072,3967,105,15903,395558
부동산업및임대업,53.1,4.7,20.2,189.9,186.4,3.5,2439,2363,76,1894,268572
전문과학및기술서비스업,39.0,6.5,20.9,170.3,165.5,4.8,3805,3709,96,7788,765885
사업시설관리및사업지원서비스업,41.0,4.6,21.4,176.7,166.5,10.2,2493,2331,162,2753,836712
교육서비스업,42.8,8.3,20.6,163.2,159.6,3.6,3446,3389,58,3306,432521
보건업및사회복지서비스업,41.5,4.5,21.5,170.7,163.7,6.9,2476,2352,125,2105,1104692
예술스포츠및여가관련서비스업,40.7,5.2,21.8,180.1,168.2,11.9,2648,2427,221,2530,92560
협회및단체수리및기타개인서비스업,44.6,5.2,21.9,170.6,164.2,6.4,2371,2270,101,2777,284208
