산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,37.8,5.9,22.3,191.5,174.9,16.6,2127430,1967831,159599,5395680,6929525
농업수렵업및임업,42.1,10.3,22.2,179.2,173.7,5.5,2345955,2302143,43812,6337906,12754
어업,45.8,4.2,23.8,190.0,188.1,1.8,2057616,2043065,14551,3496578,2819
광업,45.7,9.3,23.7,197.1,175.2,21.9,2373650,2140702,232949,5361907,14228
제조업,37.4,6.2,22.8,200.5,172.0,28.5,2048577,1783449,265128,6128623,2640009
전기가스및수도사업,40.0,13.8,21.3,188.7,166.5,22.2,3224816,2861294,363523,13792337,52583
건설업,39.4,4.2,23.0,184.1,179.5,4.7,2082762,2028550,54212,2858365,423369
도매및소매업∼,35.6,5.0,22.5,183.1,177.1,6.0,2113041,2056316,56725,4867856,611799
숙박및음식점업,37.2,3.5,23.9,210.7,197.7,13.0,1491288,1396586,94702,1670079,176200
운수업,43.0,6.6,22.1,199.8,176.7,23.0,1921615,1668296,253319,4444602,410853
통신업,38.1,10.6,20.7,170.2,161.6,8.6,2940548,2819025,121523,10410058,68953
금융및보험업,36.0,9.6,20.2,165.3,160.3,5.0,2884825,2809431,75393,12887308,338049
부동산및임대업,49.5,4.2,20.0,231.1,227.8,3.4,1691479,1646167,45312,2507436,210690
사업서비스업,35.9,4.5,21.1,178.5,168.2,10.3,2288671,2197793,90878,4761928,851357
교육서비스업,39.1,7.8,21.4,169.8,165.7,4.1,2519578,2481713,37865,4276750,362878
보건및사회복지사업,34.2,4.5,22.7,189.5,178.4,11.1,1923960,1829378,94582,3809417,437957
오락문화및운동관련서비스업,36.6,5.4,22.6,187.5,176.3,11.2,2279033,2150654,128379,5074849,95188
기타공공수리및개인서비스업,39.7,5.0,23.5,193.2,185.0,8.2,1870830,1796263,74567,2951780,219839
