Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,312,296,16,50,262
"공공행정, 국방 및 사회보장 행정",882,518,364,299,583
교육 서비스업,214,53,161,82,132
금융 및 보험업,237,163,74,114,123
기타,1593,714,879,586,1007
"농업, 임업 및 어업",499,279,220,16,483
도매 및 소매업,737,345,392,202,535
보건업 및 사회복지 서비스업,575,136,439,203,372
"사업시설 관리, 사업 지원 및 임대 서비스업",494,242,252,51,443
숙박 및 음식점업,46,41,5,15,31
"예술, 스포츠 및 여가관련 서비스업",185,99,86,96,89
운수 및 창고업,235,213,22,58,177
"전기, 가스, 증기 및 공기조절 공급업",219,207,12,79,140
"전문, 과학 및 기술 서비스업",203,170,33,69,134
정보통신업,16,14,2,7,9
제조업,1497,1217,280,432,1065
"협회 및 단체, 수리 및 기타 개인 서비스업",301,108,193,98,203
