Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,476,452,24,56,420
"공공행정, 국방 및 사회보장 행정",1404,756,648,352,1052
교육 서비스업,333,63,270,116,217
금융 및 보험업,380,248,132,132,248
기타,2439,1088,1351,710,1729
"농업, 임업 및 어업",829,482,347,20,809
도매 및 소매업,973,460,513,190,783
보건업 및 사회복지 서비스업,879,217,662,312,567
"사업시설 관리, 사업 지원 및 임대 서비스업",836,374,462,66,770
숙박 및 음식점업,71,60,11,32,39
"예술, 스포츠 및 여가관련 서비스업",269,137,132,128,141
운수 및 창고업,368,334,34,100,268
"전기, 가스, 증기 및 공기조절 공급업",295,270,25,81,214
"전문, 과학 및 기술 서비스업",317,255,62,82,235
정보통신업,17,15,2,4,13
제조업,2154,1808,346,503,1651
"협회 및 단체, 수리 및 기타 개인 서비스업",380,139,241,113,267
