Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,253,243,10,79,174
"공공행정, 국방 및 사회보장 행정",379,267,112,250,129
교육 서비스업,139,34,105,121,18
금융 및 보험업,97,57,40,72,25
기타,1199,643,556,684,515
"농업, 임업 및 어업",404,213,191,35,369
도매 및 소매업,736,347,389,309,427
보건업 및 사회복지 서비스업,272,61,211,120,152
"사업시설 관리, 사업 지원 및 임대 서비스업",305,152,153,63,242
숙박 및 음식점업,30,29,1,21,9
"예술, 스포츠 및 여가관련 서비스업",161,95,66,99,62
운수 및 창고업,171,147,24,98,73
"전기, 가스, 증기 및 공기조절 공급업",103,89,14,72,31
"전문, 과학 및 기술 서비스업",132,119,13,68,64
정보통신업,10,10,0,6,4
제조업,1122,867,255,570,552
"협회 및 단체, 수리 및 기타 개인 서비스업",171,56,115,72,99
