Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,466,445,21,65,401
"공공행정, 국방 및 사회보장 행정",1372,748,624,379,993
교육 서비스업,314,62,252,118,196
금융 및 보험업,388,253,135,148,240
기타,2371,1056,1315,727,1644
"농업, 임업 및 어업",826,486,340,17,809
도매 및 소매업,984,459,525,191,793
보건업 및 사회복지 서비스업,858,218,640,318,540
"사업시설 관리, 사업 지원 및 임대 서비스업",806,352,454,71,735
숙박 및 음식점업,73,63,10,30,43
"예술, 스포츠 및 여가관련 서비스업",265,133,132,131,134
운수 및 창고업,356,316,40,87,269
"전기, 가스, 증기 및 공기조절 공급업",294,263,31,86,208
"전문, 과학 및 기술 서비스업",297,247,50,79,218
정보통신업,20,17,3,7,13
제조업,2183,1834,349,510,1673
"협회 및 단체, 수리 및 기타 개인 서비스업",384,142,242,105,279
