Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,301,285,16,47,254
"공공행정, 국방 및 사회보장 행정",856,529,327,315,541
교육 서비스업,237,56,181,101,136
금융 및 보험업,251,169,82,130,121
기타,1549,706,843,594,955
"농업, 임업 및 어업",519,289,230,16,503
도매 및 소매업,719,347,372,184,535
보건업 및 사회복지 서비스업,539,125,414,190,349
"사업시설 관리, 사업 지원 및 임대 서비스업",491,241,250,52,439
숙박 및 음식점업,48,43,5,18,30
"예술, 스포츠 및 여가관련 서비스업",194,103,91,101,93
운수 및 창고업,205,188,17,51,154
"전기, 가스, 증기 및 공기조절 공급업",211,202,9,81,130
"전문, 과학 및 기술 서비스업",184,154,30,65,119
정보통신업,15,13,2,7,8
제조업,1461,1206,255,427,1034
"협회 및 단체, 수리 및 기타 개인 서비스업",274,101,173,89,185
