Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,296,281,15,49,247
"공공행정, 국방 및 사회보장 행정",742,474,268,324,418
교육 서비스업,255,69,186,145,110
금융 및 보험업,206,144,62,114,92
기타,1485,701,784,660,825
"농업, 임업 및 어업",588,313,275,18,570
도매 및 소매업,774,359,415,243,531
보건업 및 사회복지 서비스업,471,105,366,164,307
"사업시설 관리, 사업 지원 및 임대 서비스업",462,235,227,62,400
숙박 및 음식점업,43,40,3,22,21
"예술, 스포츠 및 여가관련 서비스업",205,123,82,116,89
운수 및 창고업,211,192,19,69,142
"전기, 가스, 증기 및 공기조절 공급업",173,165,8,92,81
"전문, 과학 및 기술 서비스업",186,160,26,98,88
정보통신업,13,11,2,8,5
제조업,1453,1175,278,460,993
"협회 및 단체, 수리 및 기타 개인 서비스업",274,105,169,85,189
