Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,257,242,15,74,183
"공공행정, 국방 및 사회보장 행정",442,301,141,272,170
교육 서비스업,172,43,129,154,18
금융 및 보험업,107,57,50,76,31
기타,1201,640,561,651,550
"농업, 임업 및 어업",339,180,159,22,317
도매 및 소매업,741,337,404,302,439
보건업 및 사회복지 서비스업,304,60,244,119,185
"사업시설 관리, 사업 지원 및 임대 서비스업",330,166,164,65,265
숙박 및 음식점업,26,24,2,18,8
"예술, 스포츠 및 여가관련 서비스업",141,88,53,96,45
운수 및 창고업,179,154,25,91,88
"전기, 가스, 증기 및 공기조절 공급업",114,104,10,74,40
"전문, 과학 및 기술 서비스업",141,127,14,76,65
정보통신업,9,8,1,6,3
제조업,1128,876,252,498,630
"협회 및 단체, 수리 및 기타 개인 서비스업",201,81,120,89,112
