Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,266,248,18,72,194
"공공행정, 국방 및 사회보장 행정",475,334,141,295,180
교육 서비스업,198,47,151,164,34
금융 및 보험업,124,72,52,88,36
기타,1229,646,583,670,559
"농업, 임업 및 어업",354,186,168,25,329
도매 및 소매업,743,347,396,307,436
보건업 및 사회복지 서비스업,329,65,264,145,184
"사업시설 관리, 사업 지원 및 임대 서비스업",363,188,175,75,288
숙박 및 음식점업,30,28,2,21,9
"예술, 스포츠 및 여가관련 서비스업",158,97,61,109,49
운수 및 창고업,184,162,22,94,90
"전기, 가스, 증기 및 공기조절 공급업",122,108,14,85,37
"전문, 과학 및 기술 서비스업",162,142,20,86,76
정보통신업,8,7,1,5,3
제조업,1160,908,252,509,651
"협회 및 단체, 수리 및 기타 개인 서비스업",189,65,124,83,106
