Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,254,243,11,82,172
"공공행정, 국방 및 사회보장 행정",393,262,131,255,138
교육 서비스업,165,44,121,147,18
금융 및 보험업,91,60,31,62,29
기타,1335,733,602,786,549
"농업, 임업 및 어업",434,226,208,52,382
도매 및 소매업,833,377,456,363,470
보건업 및 사회복지 서비스업,302,69,233,145,157
"사업시설 관리, 사업 지원 및 임대 서비스업",325,160,165,74,251
숙박 및 음식점업,30,29,1,21,9
"예술, 스포츠 및 여가관련 서비스업",158,90,68,102,56
운수 및 창고업,168,148,20,103,65
"전기, 가스, 증기 및 공기조절 공급업",102,92,10,73,29
"전문, 과학 및 기술 서비스업",171,155,16,92,79
정보통신업,11,11,0,5,6
제조업,1131,861,270,572,559
"협회 및 단체, 수리 및 기타 개인 서비스업",182,60,122,84,98
