Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,280,260,20,76,204
"공공행정, 국방 및 사회보장 행정",536,379,157,314,222
교육 서비스업,222,60,162,178,44
금융 및 보험업,159,101,58,101,58
기타,1222,608,614,661,561
"농업, 임업 및 어업",91,46,45,11,80
도매 및 소매업,709,343,366,250,459
보건업 및 사회복지 서비스업,350,73,277,142,208
"사업시설 관리, 사업 지원 및 임대 서비스업",343,185,158,64,279
숙박 및 음식점업,32,30,2,23,9
"예술, 스포츠 및 여가관련 서비스업",175,106,69,119,56
운수 및 창고업,191,173,18,86,105
"전기, 가스, 증기 및 공기조절 공급업",140,127,13,95,45
"전문, 과학 및 기술 서비스업",152,128,24,87,65
정보통신업,12,11,1,6,6
제조업,1204,949,255,478,726
"협회 및 단체, 수리 및 기타 개인 서비스업",196,61,135,74,122
