Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,281,268,13,52,229
"공공행정, 국방 및 사회보장 행정",733,467,266,279,454
교육 서비스업,227,63,164,110,117
금융 및 보험업,210,142,68,112,98
기타,1447,668,779,573,874
"농업, 임업 및 어업",549,297,252,14,535
도매 및 소매업,708,322,386,197,511
보건업 및 사회복지 서비스업,506,116,390,173,333
"사업시설 관리, 사업 지원 및 임대 서비스업",448,220,228,44,404
숙박 및 음식점업,39,37,2,17,22
"예술, 스포츠 및 여가관련 서비스업",192,105,87,107,85
운수 및 창고업,218,199,19,64,154
"전기, 가스, 증기 및 공기조절 공급업",188,181,7,83,105
"전문, 과학 및 기술 서비스업",185,149,36,69,116
정보통신업,15,14,1,7,8
제조업,1404,1150,254,400,1004
"협회 및 단체, 수리 및 기타 개인 서비스업",246,86,160,64,182
