Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,301,281,20,66,235
"공공행정, 국방 및 사회보장 행정",705,498,207,359,346
교육 서비스업,261,64,197,183,78
금융 및 보험업,189,127,62,117,72
기타,1429,693,736,735,694
"농업, 임업 및 어업",698,374,324,30,668
도매 및 소매업,771,364,407,247,524
보건업 및 사회복지 서비스업,429,101,328,159,270
"사업시설 관리, 사업 지원 및 임대 서비스업",416,214,202,55,361
숙박 및 음식점업,47,43,4,30,17
"예술, 스포츠 및 여가관련 서비스업",195,114,81,119,76
운수 및 창고업,219,199,20,86,133
"전기, 가스, 증기 및 공기조절 공급업",178,165,13,104,74
"전문, 과학 및 기술 서비스업",172,141,31,101,71
정보통신업,15,11,4,10,5
제조업,1443,1176,267,513,930
"협회 및 단체, 수리 및 기타 개인 서비스업",293,95,198,95,198
