산업분류,종사자합,종사자남,종사자여
전체,15943663,9428169,6515494
농업임업및어업,32622,24739,7883
광업,16918,14911,2007
제조업,3259932,2369470,890462
전기가스증기및공기조절공급업,51545,46032,5513
수도하수및폐기물처리원료재생업,79657,68112,11545
건설업,853524,743971,109553
도매및소매업,2547330,1383288,1164042
운수및창고업,885737,795087,90650
숙박및음식점업,1718029,561075,1156954
정보통신업,416971,295751,121220
금융및보험업,641552,305816,335736
부동산업,393408,271890,121518
전문과학및기술서비스업,627291,440601,186690
사업시설관리사업지원및임대서비스업,692982,385438,307544
공공행정국방및사회보장행정,558755,412878,145877
교육서비스업,1299080,518783,780297
보건업및사회복지서비스업,807217,205649,601568
예술스포츠및여가관련서비스업,297061,168135,128926
협회및단체수리및기타개인서비스업,764052,416543,347509
