산업분류,종사자합,종사자남,종사자여
전체,22234776,12594500,9640276
농업임업및어업,42324,30382,11942
광업,14998,12927,2071
제조업,4105871,3048514,1057357
전기가스증기및공기조절공급업,64066,53846,10220
수도하수및폐기물처리원료재생업,108906,91434,17472
건설업,1481673,1273953,207720
도매및소매업,3250867,1719231,1531636
운수및창고업,1145752,991823,153929
숙박및음식점업,2326716,857592,1469124
정보통신업,599006,412243,186763
금융및보험업,711494,313206,398288
부동산업,520591,324435,196156
전문과학및기술서비스업,1075234,723633,351601
사업시설관리사업지원및임대서비스업,1187986,632782,555204
공공행정국방및사회보장행정,734566,473243,261323
교육서비스업,1630311,595618,1034693
보건업및사회복지서비스업,1902052,361606,1540446
예술스포츠및여가관련서비스업,442046,228077,213969
협회및단체수리및기타개인서비스업,890317,449955,440362
