0101,0107,0110,0350,1642
2,52,5,831.0,220.0
1,46,5,831.0,
1,48,5,831.0,800.0
2,47,5,831.0,145.0
1,24,5,831.0,200.0
1,19,5,831.0,150.0
1,25,6,831.0,300.0
2,58,4,831.0,200.0
2,56,5,831.0,
1,34,5,831.0,150.0
2,48,5,831.0,130.0
2,43,5,831.0,149.0
1,45,5,831.0,250.0
1,54,4,831.0,300.0
1,59,4,831.0,120.0
1,60,5,831.0,239.0
1,50,5,831.0,392.0
2,57,4,831.0,100.0
1,46,5,831.0,300.0
1,37,6,831.0,340.0
1,36,5,831.0,550.0
1,56,5,831.0,220.0
2,52,3,831.0,170.0
1,38,7,831.0,333.0
1,49,5,831.0,820.0
2,53,5,831.0,150.0
1,56,6,831.0,1000.0
1,34,7,831.0,150.0
1,52,6,831.0,875.0
1,39,5,831.0,300.0
1,53,5,831.0,700.0
1,56,5,831.0,700.0
1,61,5,831.0,150.0
1,40,7,831.0,250.0
1,47,5,831.0,350.0
1,58,5,831.0,400.0
2,43,5,831.0,180.0
2,53,5,831.0,117.0
2,60,5,831.0,250.0
1,51,5,831.0,450.0
2,55,5,831.0,100.0
2,58,5,831.0,130.0
1,48,5,831.0,130.0
2,47,5,831.0,180.0
1,55,5,831.0,600.0
2,49,5,831.0,120.0
1,55,5,831.0,616.0
1,50,5,831.0,900.0
1,43,5,831.0,400.0
2,52,5,831.0,140.0
2,48,5,831.0,197.0
1,20,5,831.0,140.0
1,34,6,831.0,640.0
2,55,5,831.0,285.0
1,22,5,831.0,35.0
1,51,4,831.0,250.0
1,26,5,831.0,190.0
1,45,5,831.0,550.0
1,32,6,831.0,270.0
1,41,5,831.0,172.0
1,42,6,831.0,300.0
2,54,4,831.0,140.0
1,26,6,831.0,180.0
1,31,6,831.0,330.0
2,51,5,831.0,200.0
2,48,5,831.0,150.0
1,49,7,831.0,235.0
1,35,5,831.0,263.0
1,46,5,831.0,492.0
2,40,5,831.0,300.0
1,36,6,831.0,350.0
2,34,5,831.0,158.0
1,38,5,831.0,275.0
1,35,6,831.0,320.0
1,34,7,831.0,300.0
1,25,6,831.0,230.0
1,45,7,831.0,473.0
1,44,6,831.0,417.0
2,58,4,831.0,240.0
1,30,7,831.0,285.0
2,44,5,831.0,160.0
2,51,5,831.0,130.0
1,35,7,831.0,360.0
1,39,6,831.0,550.0
1,67,4,831.0,210.0
1,27,7,831.0,180.0
1,27,7,831.0,160.0
1,47,5,831.0,500.0
2,48,5,831.0,150.0
1,36,6,831.0,440.0
1,55,6,831.0,160.0
1,54,7,831.0,2000.0
