산업분류,사업체 수,종사자 수,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상1000명미만사업체,300명이상500명미만종사자,500명이상500명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3293551,16817946,2723973,4881616,318882,2031352,135433,1793399,75497,2260111,25022,1706469,11692,1841102,1632,622162,956,654416,464,1027319
농업임업및어업,2336,30238,871,2003,568,3792,504,6695,300,8993,71,4923,21,2922,0,0,1,0,0,0
광업,1817,16571,1185,2756,254,1708,212,2973,139,4032,22,1472,1,0,1,0,1,0,2,0
제조업,328565,3262933,211366,431441,59163,392259,30167,404545,19037,571604,5249,359557,3009,472509,297,112458,170,113836,107,404724
전기가스증기및공기조절공급업,910,51727,270,697,149,996,59,805,183,6144,150,10785,72,12987,12,4520,9,6377,6,8416
수도하수및폐기물처리원료재생업,5683,82872,2089,5349,1431,9586,1001,13854,861,26388,226,15093,72,10733,2,0,0,0,1,0
건설업,97391,902802,56321,114228,20642,136261,11874,158303,6236,182229,1384,91994,763,123214,109,40756,48,31578,14,24239
도매및소매업,858619,2618346,765578,1389597,62517,389446,19594,255294,8104,228925,1691,114258,959,149573,122,45419,43,27838,11,17996
운수및창고업,343986,976105,325611,354559,7530,48871,4441,59687,3330,101457,1604,111914,1311,210033,107,40204,46,30981,6,18399
숙박및음식점업,628624,1755201,565444,1174874,50744,307623,9188,116645,2571,74815,518,34699,123,19381,18,7087,13,9167,5,10910
정보통신업,24306,432928,11226,27474,5629,36274,3225,43129,2547,77123,948,65408,590,93419,81,30438,46,31721,14,27942
금융및보험업,38408,692071,10034,23447,9215,64526,10329,136554,6685,205782,1596,102232,405,63266,81,30864,40,28371,23,37029
부동산업,114083,411358,95245,153880,11019,71535,5230,68628,2087,59524,346,22691,131,19657,13,5276,8,5143,4,5024
전문과학및기술서비스업,67721,732048,41064,96054,15564,97684,5798,76232,3292,98034,1085,74739,673,111670,142,55084,63,41932,40,80619
사업시설관리사업지원및임대서비스업,46231,745494,31626,62548,5582,35730,3349,44962,3083,93659,1155,80356,1002,168824,249,94199,146,99317,39,65899
공공행정국방및사회보장행정,11665,657680,2106,4150,1314,9783,3540,50682,2563,77243,1021,68170,618,105842,235,91132,194,137701,74,112977
교육서비스업,162601,1363740,121770,219092,17953,114098,8938,120944,7153,225573,5697,394801,886,115058,82,32685,66,45486,56,96003
보건업및사회복지서비스업,99899,981216,52678,159431,29899,187665,10821,140039,4169,126138,1525,103953,632,96207,60,22852,59,41470,56,103461
예술스포츠및여가관련서비스업,101955,321267,94729,166806,4400,27105,1362,18022,852,25691,291,20131,298,47582,16,6253,3,2051,4,7626
협회및단체수리및기타개인서비스업,358751,783349,334760,493230,15309,96410,5801,75406,2305,66757,443,29293,126,18016,5,1731,0,0,2,0
