산업분류,사업체 수,종사자 수,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상1000명미만사업체,300명이상500명미만종사자,500명이상500명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3262921,15943663,2711910,4875433,310171,1961144,133321,1762087,72007,2153133,22683,1542570,10135,1603439,1437,542730,850,586311,407,916816
농업임업및어업,2181,32622,745,1759,540,3517,443,5978,339,10459,80,5433,32,4242,1,0,1,0,0,0
광업,1746,16918,1147,2817,224,1466,201,2738,144,4170,21,1437,5,787,1,0,1,0,2,0
제조업,335402,3259932,213884,432205,60832,391156,32495,430832,19662,587732,5159,353184,2799,439922,311,116702,152,104724,108,403475
전기가스증기및공기조절공급업,880,51545,171,522,191,1256,100,1477,166,5740,143,10198,89,15635,6,2166,8,5737,6,8814
수도하수및폐기물처리원료재생업,5450,79657,1991,5161,1321,8671,1002,13663,842,25448,227,15389,65,9949,1,0,1,0,0,0
건설업,97535,853524,56351,115884,21217,139519,12473,166396,5524,159686,1244,83184,569,91480,98,36538,42,28360,17,32477
도매및소매업,864543,2547330,775434,1407044,59355,370207,19237,250213,7980,224326,1591,105696,823,130761,89,33276,31,20926,3,4881
운수및창고업,338825,885737,321244,350077,7631,49310,4369,58052,3056,92728,1303,92128,1110,176930,76,27875,31,21482,5,17155
숙박및음식점업,627039,1718029,565879,1170831,49466,298627,8622,109659,2511,73707,409,25983,124,20931,10,3756,15,9816,3,4719
정보통신업,24271,416971,11228,27896,5614,36145,3273,43897,2563,77894,903,61842,576,92164,58,21548,39,25650,17,29935
금융및보험업,36996,641552,9713,22387,8604,59936,10084,134681,6874,211321,1281,82893,327,51010,67,26263,26,18693,20,34368
부동산업,110768,393408,93251,152185,10403,67383,4803,62959,1851,53433,322,21330,116,18388,9,3552,8,5920,5,8258
전문과학및기술서비스업,64975,627291,39469,91602,15373,95882,5504,72522,2990,89270,893,60523,569,93543,103,39233,51,34522,23,50194
사업시설관리사업지원및임대서비스업,46321,692982,32700,64564,5489,34955,3053,40665,2660,80605,1118,77712,892,147655,231,86562,134,90902,44,69362
공공행정국방및사회보장행정,12044,558755,2719,4850,1182,8783,3925,55430,2321,69826,944,62727,525,93699,218,83261,163,114005,47,66174
교육서비스업,156164,1299080,116900,213421,17361,110197,8740,119102,6816,216921,5414,371956,718,94259,78,30705,87,60133,50,82386
보건업및사회복지서비스업,88452,807217,50064,150831,25401,159186,8308,106917,2959,89910,1063,72569,494,75658,57,21773,54,38631,52,91742
예술스포츠및여가관련서비스업,98059,297061,91453,166368,4116,25328,1272,16709,758,22834,237,16279,198,31439,16,5674,5,3340,4,9090
협회및단체수리및기타개인서비스업,351270,764052,327567,495029,15851,99620,5417,70197,1991,57123,331,22107,104,14987,7,2615,1,0,1,0
