산업분류,사업체수,종사자수,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3950169,21259126,3173185,5705519,454806,2900439,176344,2331473,96370,2873053,30808,2106649,14710,2292599,2050,775166,1270,874027,626,1400201
농업임업및어업,3627,39650,1597,3650,1007,6609,542,7217,367,11141,84,5907,28,3806,1,0,1,0,0,0
광업,2012,15861,1397,3113,256,1767,171,2408,158,4573,24,1680,3,486,1,0,2,0,0,0
제조업,430948,4097338,275391,579303,87151,581319,32669,445263,24580,736538,6895,472893,3569,564788,370,138681,204,137599,119,440954
전기가스증기및공기조절공급업,1584,58688,769,1591,218,1441,100,1392,221,7703,176,12391,72,13132,16,5841,7,5365,5,9832
수도하수및폐기물처리원료재생업,8521,102578,3939,9581,1919,12646,1237,16754,1072,32543,279,18722,72,10474,2,0,0,0,1,0
건설업,137220,1392554,75540,159358,31600,199388,19528,253951,7184,209468,1776,119358,1212,191912,213,80240,116,77603,51,101276
도매및소매업,1017340,3141900,894254,1619584,84859,528033,24985,325897,10027,285466,1987,133793,1065,161972,108,40247,43,31097,12,15811
운수및창고업,385968,1111060,362558,395298,9272,61183,6402,85376,4338,132612,1868,129256,1387,214766,92,33626,41,27625,10,31318
숙박및음식점업,729175,2162823,633168,1304871,76725,469909,14675,183731,3499,99384,902,58677,168,25707,25,9763,9,5480,4,5301
정보통신업,42539,567284,24271,50772,8521,54933,4723,62599,3070,93361,1056,72232,737,118428,98,37656,43,28169,20,49134
금융및보험업,42809,730963,11949,27206,10993,75645,10779,142390,7111,218994,1420,91021,407,64120,73,28189,48,33692,29,49706
부동산업,143461,501974,120118,201003,15035,96176,5881,76417,1904,54190,308,20663,170,25380,27,10304,11,7377,7,10464
전문과학및기술서비스업,103223,1002371,66028,142605,21699,140737,8692,112733,4395,129172,1298,88412,796,127615,165,63499,101,68961,49,128637
사업시설관리사업지원및임대서비스업,67237,1148968,45453,88585,8627,55659,4871,65900,4480,135663,1743,119843,1346,226152,357,133920,279,193054,81,130192
공공행정국방및사회보장행정,12454,691270,1827,3541,1581,11207,3655,53353,3286,96710,938,62908,651,106244,245,95605,191,137613,80,124089
교육서비스업,180595,1559558,135861,236296,19364,123021,9577,130420,8286,257084,6093,428114,1139,147942,110,41753,90,61824,75,133104
보건업및사회복지서비스업,141372,1674556,60250,178621,48609,308173,19211,252417,8552,256766,3102,211817,1379,214353,115,42166,75,50025,79,160218
예술스포츠및여가관련서비스업,110230,394913,97354,173162,8617,53918,2294,30167,1197,35627,382,26651,350,52434,26,9943,6,3987,4,9024
협회및단체수리및기타개인서비스업,389854,864817,361461,527379,18753,118675,6352,83088,2643,76058,477,32311,159,22888,6,2232,3,2186,0,0
