산업분류,사업체 수,종사자 수,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상1000명미만사업체,300명이상500명미만종사자,500명이상500명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3602461,18569256,2963367,5298493,366257,2341182,146802,1955813,82541,2490187,27164,1877141,12987,2017880,1717,646282,1083,735505,543,1206773
농업임업및어업,2388,30836,957,2024,572,3807,459,6165,311,9387,59,3994,28,3803,0,0,2,0,0,0
광업,1836,15473,1227,3055,239,1532,216,2981,126,3497,20,1324,4,587,2,0,2,0,0,0
제조업,371906,3718188,239809,483512,68226,456882,32180,443022,21662,661943,5944,414057,3408,539089,365,136823,191,129763,121,453097
전기가스증기및공기조절공급업,1067,50506,390,919,180,1197,60,812,206,7015,136,9557,69,12327,12,4170,9,5746,5,8763
수도하수및폐기물처리원료재생업,7089,89315,3163,7506,1603,10589,1073,14707,942,29010,238,15986,67,9831,2,0,1,0,0,0
건설업,111181,1059721,68529,138562,22554,146905,11390,150705,5827,172548,1732,118164,882,139229,136,49674,85,58215,46,85719
도매및소매업,939357,2782007,838195,1515498,68935,431536,20940,274826,8546,242929,1714,116589,895,134243,88,32503,38,25750,6,8133
운수및창고업,364349,1012741,344938,375689,8038,51964,4645,62323,3645,111962,1619,112910,1315,206061,98,36710,45,29649,6,25473
숙박및음식점업,673064,1909081,598450,1233721,59862,366753,11093,140965,2903,84486,579,38836,141,21758,17,6502,15,10431,4,5629
정보통신업,33779,493205,18626,40323,6907,44538,3707,49170,2760,84384,991,67951,627,100140,100,36973,38,26163,23,43563
금융및보험업,41799,724771,11373,26010,10123,70896,11138,146318,7064,220585,1557,99558,391,58401,83,32315,42,28915,28,41773
부동산업,119049,412396,99271,163232,12224,79152,5344,69852,1817,51480,255,17265,115,17267,13,4782,7,4824,3,4542
전문과학및기술서비스업,84260,814647,54498,120227,17691,112060,6353,83903,3623,108193,1130,78375,681,111162,149,56905,93,62105,42,81717
사업시설관리사업지원및임대서비스업,56639,897401,38823,76317,6926,44475,3907,52700,3762,115377,1503,104584,1232,204698,256,97337,179,119294,51,82619
공공행정국방및사회보장행정,11939,637871,1926,3747,1561,11264,3696,53786,2816,83190,826,55524,643,109042,212,81209,191,132541,68,107568
교육서비스업,172289,1475660,130790,234053,18085,115370,8909,120341,7077,220006,6025,427558,1168,149708,90,34748,78,52706,67,121170
보건업및사회복지서비스업,122764,1261722,60180,182466,39703,248401,13960,181288,5754,175044,2060,141722,909,138196,68,25035,62,41855,68,127715
예술스포츠및여가관련서비스업,104597,343790,95464,167786,5871,36338,1611,21348,1032,31690,290,20780,297,45534,22,7847,5,3175,5,9292
협회및단체수리및기타개인서비스업,383109,839925,356758,523846,16957,107523,6121,80601,2668,77461,486,32407,115,16804,4,1283,0,0,0,0
