산업분류,사업체 수,종사자 수,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상1000명미만사업체,300명이상500명미만종사자,500명이상500명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3676859,19173387,3005238,5377943,384596,2443380,155266,2053749,86940,2600910,27976,1926370,13395,2091143,1815,689070,1073,728201,560,1262621
농업임업및어업,2655,34202,979,2154,690,4715,529,7065,363,10920,67,4625,25,3380,0,0,2,0,0,0
광업,1881,15415,1286,3112,235,1559,189,2573,145,4132,19,1285,3,382,2,0,2,0,0,0
제조업,382575,3825678,245173,497537,71482,468513,32625,440666,22760,687288,6316,436546,3522,558070,389,146125,185,124725,123,466208
전기가스증기및공기조절공급업,1121,53595,409,978,182,1217,65,870,214,7258,151,10518,70,12452,15,5116,10,6421,5,8765
수도하수및폐기물처리원료재생업,7565,95103,3311,7835,1688,11112,1245,16958,997,30371,250,16551,72,10745,1,0,0,0,1,0
건설업,118767,1045603,72975,150645,25135,163757,12502,164394,5626,163575,1454,98045,836,134494,134,49665,66,43101,39,77927
도매및소매업,957058,2885740,849228,1530829,72693,452588,22934,299517,9360,263816,1726,115853,989,155363,82,30352,38,25844,8,11578
운수및창고업,371628,1015915,351581,382864,8350,53957,4856,64987,3759,114766,1669,115888,1277,199220,95,36305,35,22032,6,25896
숙박및음식점업,685669,1986673,605700,1259000,63667,390137,12224,154091,3214,92365,668,44295,157,24011,23,9002,11,7175,5,6597
정보통신업,35290,509785,19596,41587,7056,45664,3958,52661,2810,85970,1043,72658,663,104898,101,39171,40,25778,23,41398
금융및보험업,41609,707246,11623,26550,10270,71568,10731,141168,6991,217378,1456,92584,391,60164,79,29875,39,26220,29,41739
부동산업,119832,421102,99685,163520,12287,79319,5506,71847,1924,54465,275,18496,131,20097,15,5760,7,5068,2,0
전문과학및기술서비스업,87868,865241,56126,122049,18556,116975,7035,92131,3977,118192,1231,84989,656,105097,152,57527,93,63985,42,104296
사업시설관리사업지원및임대서비스업,59755,983585,40200,78335,7669,48913,4319,58125,4169,127300,1543,106650,1285,216320,297,113850,213,142795,60,91297
공공행정국방및사회보장행정,12027,645053,1888,3569,1492,10654,3839,55824,2831,83778,861,58634,634,105262,226,86905,182,127421,74,113006
교육서비스업,173740,1498539,131248,233110,18666,118846,9032,121820,7306,226125,6101,431760,1142,146594,97,38235,80,56853,68,125196
보건업및사회복지서비스업,127925,1367805,61759,186290,40843,255350,15247,198688,6466,195429,2313,160308,1086,166118,78,29241,64,43559,69,132822
예술스포츠및여가관련서비스업,104222,359129,94015,164673,6395,39834,1985,26003,1139,34149,337,23663,321,49419,22,8518,3,2183,5,10687
협회및단체수리및기타개인서비스업,385672,857978,358456,523306,17240,108702,6445,84361,2889,83633,496,33022,135,19057,7,2269,3,2094,1,0
