산업분류,사업체수,종사자수,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3226565,15435729,2697592,4800820,296992,1878020,127288,1681970,70542,2109048,21874,1489878,9820,1559391,1249,469958,835,573596,373,873048
농업임업및어업,2141,30305,819,1866,451,2950,444,5932,326,9923,75,5227,25,3527,0,0,1,0,0,0
광업,1734,16774,1122,2688,240,1540,191,2580,150,4190,22,1443,5,836,1,0,1,0,2,0
제조업,335288,3231791,216804,433791,59374,381804,31107,413564,19475,584086,5264,362072,2696,427617,287,107797,177,117160,104,403900
전기가스증기및공기조절공급업,894,50402,167,501,175,1157,117,1704,183,6180,140,9815,93,16334,5,1858,9,6034,5,6819
수도하수및폐기물처리원료재생업,5216,75749,1941,5022,1251,8185,952,12954,806,24577,201,13831,63,9731,1,0,1,0,0,0
건설업,94297,837870,54860,111295,20475,134765,11525,153785,5436,160133,1219,82016,637,101117,81,29320,46,31007,18,34432
도매및소매업,860547,2500253,775306,1395646,56622,353529,18447,239099,7738,218610,1494,99389,834,129764,66,24298,34,22837,6,17081
운수및창고업,340013,869653,322928,350727,7332,47421,4339,57290,2923,88407,1279,90380,1106,173273,76,28437,23,16511,7,17207
숙박및음식점업,624450,1671710,565931,1148179,47275,285236,8209,104421,2529,73000,353,22845,123,19758,12,4364,16,10929,2,0
정보통신업,23826,401805,11022,27158,5539,35689,3243,43209,2473,74637,873,58709,573,92450,51,19072,40,25335,12,25546
금융및보험업,35572,621959,9611,21974,8040,56477,9528,127625,6752,204989,1214,78491,321,52522,51,19470,35,25194,20,35217
부동산업,106075,388832,88232,144003,10231,66641,5108,67145,2012,57007,361,23733,112,17331,7,2654,10,7363,2,0
전문과학및기술서비스업,62506,569071,38394,87636,14862,92141,5060,66640,2751,81555,792,53618,490,81468,94,35997,43,30340,20,39676
사업시설관리사업지원및임대서비스업,45740,609741,32862,63670,5329,33776,2891,38502,2560,77588,992,68266,791,131380,181,67525,100,68660,34,60374
공공행정국방및사회보장행정,12266,543025,2990,5129,1250,9323,3931,54890,2272,68386,883,58481,533,97561,194,73800,171,118340,42,57115
교육서비스업,150024,1249856,112441,207052,16354,103692,8313,113356,6758,216276,5252,361886,720,96488,68,26472,73,51686,45,72948
보건업및사회복지서비스업,83323,734896,48715,145833,22941,143637,7484,95918,2692,80527,937,64612,397,62234,58,22037,50,36031,49,84067
예술스포츠및여가관련서비스업,97527,289452,91309,165045,3838,23487,1193,15784,744,22893,227,15581,198,31914,13,4981,1,0,4,8992
협회및단체수리및기타개인서비스업,345126,742585,322138,483605,15413,96570,5206,67572,1962,56084,296,19483,103,14086,3,932,4,2903,1,0
