산업분류,사업체 수,종사자 수,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상1000명미만사업체,300명이상500명미만종사자,500명이상500명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,4103172,22234776,3274152,5878444,491200,3157255,186654,2459688,100961,2998730,31235,2133060,14907,2333320,2092,792143,1275,883140,696,1598996
농업임업및어업,4261,42324,2115,4720,1099,7224,556,7557,381,11422,75,5291,32,4477,2,0,1,0,0,0
광업,1916,14998,1336,2777,255,1781,137,1986,161,4754,20,1354,3,373,2,0,2,0,0,0
제조업,437024,4105871,276695,578742,91203,620610,33700,455332,24585,733081,6823,467925,3343,529992,354,134083,200,134992,121,451114
전기가스증기및공기조절공급업,2343,64066,1453,2579,271,1778,103,1434,227,7834,171,12041,84,14713,21,8004,5,3524,8,12159
수도하수및폐기물처리원료재생업,8972,108906,4156,9706,2007,13148,1308,17790,1130,35272,282,18582,86,12555,2,0,0,0,1,0
건설업,142840,1481673,78121,179504,33435,219613,19689,257551,8149,235165,1859,123276,1210,195085,208,76356,109,73904,60,121219
도매및소매업,1027109,3250867,893541,1624686,93259,581971,26692,346971,10394,296282,2053,138196,1008,154947,105,39230,39,29182,18,39402
운수및창고업,400282,1145752,375916,407047,10048,65839,6280,83883,4648,141780,1839,124508,1390,209905,102,37194,42,29783,17,45813
숙박및음식점업,766315,2326716,656577,1372738,87580,540034,17634,220541,3749,107588,581,37525,148,23663,27,10227,15,10025,4,4375
정보통신업,43888,599006,25787,52253,8259,53431,4653,61655,3171,95556,1084,75110,748,123062,114,43438,47,31661,25,62840
금융및보험업,43568,711494,13843,30346,10824,74410,10505,138461,6442,196676,1347,86252,447,68336,80,30980,48,32895,32,53138
부동산업,160152,520591,135737,217167,15830,101578,6136,79175,2001,56849,257,17143,155,24190,18,7010,11,7254,7,10225
전문과학및기술서비스업,112302,1075234,72764,152307,23399,149854,8998,117263,4637,136485,1337,90806,822,132681,184,69539,112,76135,49,150164
사업시설관리사업지원및임대서비스업,70542,1187986,48508,91303,8805,56534,5032,68079,4410,132194,1685,115913,1417,240492,320,121832,266,184106,99,177533
공공행정국방및사회보장행정,12521,734566,1735,3323,1490,10468,3249,47971,3751,109802,1042,71129,736,121138,240,94488,189,134978,89,141269
교육서비스업,189800,1630311,139456,251217,23826,151812,10320,138673,8515,263651,6256,437771,1142,146028,125,47637,89,62397,71,131125
보건업및사회복지서비스업,147452,1902052,58938,171115,50392,322442,22252,292768,10323,310808,3623,248992,1592,250915,153,57122,90,63560,89,184330
예술스포츠및여가관련서비스업,121639,442046,106109,184549,10480,65866,2823,36846,1386,40945,430,30144,370,56113,28,10388,8,5264,5,11931
협회및단체수리및기타개인서비스업,410246,890317,381365,542365,18738,118862,6587,85752,2901,82586,471,31102,174,24655,7,2399,2,0,1,0
