산업분류,종사자수,자영업자무급가족,상용종사자,일용근로자,기타종사자
전체,22234776,4007864,14368925,2888527,969460
농업임업및어업,42324,0,32453,6922,2949
광업,14998,1864,12186,837,111
제조업,4105871,389554,3430196,264291,21830
전기가스증기및공기조절공급업,64066,695,62227,1048,96
수도하수및폐기물처리원료재생업,108906,3293,99945,5286,382
건설업,1481673,91623,664479,668339,57232
도매및소매업,3250867,1081512,1664431,343463,161461
운수및창고업,1145752,374654,597978,59505,113615
숙박및음식점업,2326716,1051690,678868,577111,19047
정보통신업,599006,15052,543782,29916,10256
금융및보험업,711494,6169,450329,16929,238067
부동산업,520591,124353,341437,29365,25436
전문과학및기술서비스업,1075234,69830,949151,47810,8443
사업시설관리사업지원및임대서비스업,1187986,41163,940397,163895,42531
공공행정국방및사회보장행정,734566,0,667236,64872,2458
교육서비스업,1630311,164451,1106913,237969,120978
보건업및사회복지서비스업,1902052,113726,1527673,197393,63260
예술스포츠및여가관련서비스업,442046,133631,170625,100242,37548
협회및단체수리및기타개인서비스업,890317,344604,428619,73334,43760
