inderstryType,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
전체,0.0179,0.0166,0.02,0.0147,0.0651,0.0149,0.0413,0.0072,0.0182,0.0332,0.0179,0.0155,0.0211,0.0202,0.0224,0.0122,0.0412,0.0133,0.0209,0.0373,0.0098,0.0277,0.0261,0.0056,0.0182,0.0379,0.0244,0.0039,0.0143,0.0308,-0.0149,-0.0233,-0.0167,-0.1102,0.0389,0.045,-0.04,0.0113
농업임업및어업,0.0613,0.0593,0.0725,0.0357,0.1695,0.1135,0.0036,0.0198,-0.0157,0.16,0.0,0.0,0.0377,0.0495,0.0076,-0.04,0.1837,,0.0463,-0.0429,0.1326,0.0845,0.0136,-0.0184,-0.0183,0.1826,0.0742,0.0912,0.009,0.0649,-0.0282,-0.0277,-0.0254,-0.1304,0.0154,0.0198,-0.1447,0.0407
광업,-0.0731,-0.0844,0.019,-0.0955,0.1206,-0.1048,-0.1961,0.3504,-0.0062,0.2,0.0,-0.25,-0.0074,-0.0053,-0.0208,-0.0473,0.0593,-0.1443,0.0005,0.0836,0.7387,-0.0929,-0.2201,0.2865,-0.0162,0.1787,0.5013,-0.1936,0.0078,0.0361,-0.0089,-0.0048,-0.0048,0.0048,0.018,0.0166,0.0294,0.0319
제조업,0.0086,0.0033,0.0284,0.0002,0.1332,0.0046,0.0187,0.0097,0.0207,-0.0188,0.0156,0.0133,0.0044,0.0073,-0.004,-0.0187,0.0436,0.008,0.0037,-0.0084,0.1943,0.0108,0.0069,-0.0021,0.022,-0.0221,0.018,-0.0096,0.012,0.0548,-0.024,-0.0295,-0.0152,-0.1289,0.0389,0.0495,-0.0341,-0.013
전기가스수도하수,0.1084,0.0952,0.1742,0.1061,0.118,0.1836,-0.0075,0.0751,0.0516,0.0728,0.0176,0.0541,0.0499,0.0472,0.0645,0.0191,0.0804,0.0883,0.0511,-0.0139,0.1883,0.0857,-0.0166,0.064,0.0494,0.09,0.0002,0.067,-0.0022,-0.0096,-0.0098,-0.022,-0.0094,-0.1746,0.0231,0.0389,-0.1453,-0.0149
건설업,0.0242,0.0164,0.0569,0.0214,0.0779,-0.054,0.2159,0.0324,-0.0153,-0.0054,-0.0364,-0.0133,0.0154,0.0149,0.0181,-0.0002,0.0783,0.013,0.0039,0.0299,-0.0175,-0.0677,0.2177,0.0314,-0.0169,0.0082,-0.0318,-0.0434,0.0202,0.0364,-0.0198,-0.0248,-0.0266,0.0133,0.018,0.0209,-0.0323,-0.0327
도매및소매업,0.0012,0.0027,-0.0009,-0.0012,0.0323,-0.0013,0.0167,0.0096,0.0514,0.0258,-0.0268,0.0123,0.0119,0.0192,0.0038,0.0095,0.0193,0.0025,0.0074,0.06,0.0199,0.0164,0.0072,0.0094,0.0566,0.0317,-0.0291,-0.1102,0.0148,0.0556,-0.0194,-0.0228,-0.0206,-0.0781,0.0464,0.0502,-0.0603,0.0813
운수및창고업,0.0225,0.0191,0.0695,0.0213,0.0615,0.0251,-0.0535,0.01,0.0067,0.0408,-0.0489,-0.0497,0.0089,0.0078,0.0163,-0.0036,0.0383,0.021,0.0007,0.0039,0.0148,0.04,-0.0644,0.0103,0.0024,0.0665,-0.0305,-0.0434,0.0041,0.0,-0.0144,-0.0268,-0.0125,-0.1667,0.0287,0.0469,-0.1214,0.0475
숙박및음식점업,0.0253,0.0439,0.0132,0.0238,0.0724,0.0188,0.0788,0.014,-0.0344,0.0241,-0.027,-0.0217,0.025,0.0422,0.0149,0.0267,0.0118,0.0224,0.0386,0.0172,-0.0792,0.032,0.0374,-0.0024,-0.0516,0.0067,-0.0243,0.014,0.0415,0.1333,0.0093,0.0046,0.0067,-0.0294,0.0845,0.0892,0.0258,-0.0124
정보통신업,0.0322,0.0232,0.0737,0.0246,0.0956,0.0824,-0.0504,-0.0726,-0.018,0.072,0.0094,0.0914,0.0133,0.0104,0.0196,-0.0249,0.0743,0.0124,0.0145,-0.0116,0.0231,0.0776,-0.0556,-0.0571,-0.0162,0.0623,0.0017,0.0511,0.0054,0.0,-0.0052,-0.0113,-0.0026,-0.1892,0.0337,0.0412,-0.1222,0.046
