inderstryType,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
전체,0.0208,0.0183,0.0248,0.0186,0.0534,0.0143,0.0524,0.0496,0.0336,0.0302,0.0071,0.0114,0.0277,0.0229,0.034,0.0209,0.0434,0.0152,0.03,0.0453,-0.0015,0.0053,0.0565,0.0473,0.0307,0.0345,0.0075,0.0359,0.0096,0.0317,-0.0648,-0.0736,-0.0732,-0.0709,0.045,0.0475,0.0135,0.0257
농업임업및어업,0.0982,0.1004,0.0857,0.1045,0.0725,0.1835,0.0388,0.0036,0.0496,-0.1573,0.1852,0.5,0.0414,0.0364,0.0543,0.047,0.0311,,0.032,0.0191,0.2277,0.1833,0.039,0.0098,0.04,-0.1427,0.1738,0.3095,0.0045,0.1324,-0.0617,-0.0762,-0.0745,-0.1481,0.0815,0.0831,0.0411,0.1114
광업,-0.0425,-0.0426,-0.0411,-0.0509,0.0365,-0.0368,-0.0414,-0.1747,0.0321,0.1111,-0.4,0.3333,-0.0274,-0.0289,-0.018,-0.0912,0.1015,-0.1047,-0.0163,-0.0245,0.1935,-0.1099,-0.0182,-0.1645,0.0193,0.1662,-0.4366,0.2157,0.0079,0.0375,-0.0343,-0.0535,-0.0446,-0.1229,0.0539,0.0572,0.0277,-0.0314
제조업,0.0077,0.0035,0.0241,0.0035,0.0752,0.0053,0.0243,-0.0235,0.0285,-0.0083,-0.0276,-0.0175,0.0005,0.004,-0.0097,-0.0105,0.0196,-0.0295,0.0047,-0.0106,0.0233,-0.0071,0.0275,-0.0216,0.0253,-0.0116,-0.0279,0.0028,0.0122,0.0282,-0.0631,-0.0693,-0.0686,-0.0779,0.0534,0.0597,0.0123,0.0489
전기가스수도하수,0.092,0.0806,0.1521,0.0996,0.0622,0.1234,0.1123,0.0329,0.0127,0.076,0.0692,0.0571,0.0509,0.0442,0.0875,0.0491,0.0526,0.0758,0.0498,0.1081,-0.3181,0.0579,0.1145,0.035,0.0257,0.0677,0.0517,0.0475,0.0045,0.0097,-0.0682,-0.067,-0.0665,-0.0735,0.0588,0.0598,0.0484,-0.0282
건설업,0.0315,0.0219,0.0742,0.0286,0.0903,0.0115,0.0637,0.0259,0.1086,0.1206,-0.009,-0.0358,0.0299,0.0234,0.0716,0.022,0.0633,0.0139,0.0148,0.045,0.0612,0.0151,0.0632,0.0263,0.1104,0.1214,-0.0006,-0.0554,0.016,0.0784,-0.0734,-0.0692,-0.0755,0.0714,0.0454,0.0531,-0.07,-0.0094
도매및소매업,0.0043,-0.0,0.0104,0.004,0.0082,-0.004,0.0588,0.0892,0.0591,0.0296,-0.0317,0.0062,0.0244,0.0193,0.0303,0.0194,0.0401,0.0072,0.0301,0.0493,0.0315,-0.0118,0.0661,0.0889,0.059,0.0376,-0.021,0.1536,0.01,0.0588,-0.0594,-0.0744,-0.0708,-0.1579,0.054,0.0596,-0.0645,0.0294
운수및창고업,0.0345,0.0328,0.0586,0.0343,0.0425,0.0344,0.0892,-0.0132,0.0109,0.0188,-0.0007,0.1667,0.0267,0.0233,0.049,0.0043,0.0832,0.0298,0.0193,-0.006,0.0753,0.0311,0.0874,-0.0159,0.0116,0.0171,-0.035,0.1831,0.0105,0.025,-0.037,-0.0826,-0.0871,-0.037,0.0133,0.0062,0.0793,-0.0433
숙박및음식점업,0.0251,0.0433,0.0135,0.0232,0.0872,0.0112,0.0927,0.2706,0.1092,-0.0992,-0.0067,0.122,0.0505,0.0587,0.0457,0.0473,0.0748,0.0231,0.0928,0.0589,-0.0806,0.0044,0.1039,0.269,0.0967,-0.0886,-0.0064,0.1151,0.038,0.1111,-0.0228,-0.0444,-0.0448,-0.0377,0.0883,0.0861,0.1151,-0.1012
정보통신업,0.0233,0.0177,0.05,0.0217,0.0369,0.02,0.0319,0.0347,0.0092,0.0373,0.0219,0.0,0.0401,0.0313,0.0602,0.0333,0.0512,0.0277,0.052,-0.1137,-0.0298,0.0152,0.0337,0.0306,0.0012,0.0547,0.0452,0.0735,0.0164,0.0645,-0.0813,-0.0725,-0.0819,0.1746,0.069,0.0609,0.2676,-0.0668
금융및보험업,0.0012,-0.0098,0.0572,0.0402,-0.0132,0.0444,0.0198,-0.0197,-0.0784,-0.0239,0.0876,0.0738,-0.0212,-0.0106,-0.0294,0.0028,-0.0241,0.0049,0.0227,0.0995,-0.1017,0.0314,0.0195,-0.0228,-0.0877,-0.0204,0.0407,0.0309,0.0051,0.0261,-0.0913,-0.0898,-0.0917,-0.0217,0.0381,0.0333,0.219,0.0795
부동산업시설관리지원임대,0.0474,0.0367,0.0684,0.0467,0.054,0.0506,0.0462,0.0365,0.0134,-0.0226,0.0445,-0.0399,0.0213,0.0169,0.027,-0.0034,0.0557,0.0509,0.0139,0.0303,0.0692,0.0342,0.0459,0.0332,0.0046,-0.0236,0.0434,0.0103,0.0,0.0435,-0.0711,-0.0839,-0.087,-0.0233,0.06,0.0652,-0.0262,-0.0509
