inderstryType,companyCount,ownerMaleRate,ownerFemaleRate,singlePropCompanyRate,multiBusinessCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,workerFemaleRate,singlePropWorkerRate,multiBusinessWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
전체,0.0197,0.0137,0.0295,0.0178,0.0494,0.0152,0.0481,0.051,-0.0074,-0.0112,0.005,0.041,0.0181,0.0085,0.0312,0.0207,0.0123,0.0036,0.0182,0.0472,0.0,0.0185,0.0473,0.0493,-0.0091,-0.0131,0.0024,0.028,0.0097,0.0323,-0.0312,-0.0119,-0.0354,0.4444,0.0255,0.0303,-0.0236,0.0221
농업임업및어업,0.1028,0.0959,0.1467,0.1147,0.0587,0.2304,0.0816,0.0207,-0.122,0.0,0.12,0.0,0.0041,-0.0204,0.0741,-0.0162,0.0412,,0.0319,-0.0123,-0.2034,0.2466,0.0632,0.0024,-0.1217,0.0019,0.1297,0.1037,0.0022,-0.0235,-0.0303,-0.0179,-0.0293,0.4878,0.0288,0.0255,0.1447,0.0366
광업,0.003,0.0039,-0.0046,0.0027,0.0056,0.0175,-0.0758,-0.0284,0.0604,-0.04,0.0,0.0,0.0126,0.0133,0.0082,0.0087,0.0205,-0.0062,0.0363,-0.181,-0.272,-0.0057,-0.0495,-0.0115,0.088,-0.0227,0.0146,-0.0011,0.0122,0.0,-0.0213,-0.0167,-0.031,0.1402,0.0229,0.0488,-0.1983,-0.0703
제조업,0.0054,0.0022,0.018,0.0035,0.0374,-0.0015,0.052,-0.0593,0.0189,0.0155,-0.0125,-0.0428,-0.0012,-0.0028,0.0034,0.0008,-0.0047,0.0285,0.0003,-0.0433,-0.2125,0.0138,0.0558,-0.0498,0.0154,0.0143,-0.0033,-0.048,0.0074,0.0145,-0.0306,-0.0041,-0.0325,0.2674,0.0247,0.0319,-0.024,-0.0424
전기가스수도하수,0.0189,0.0144,0.0456,0.0192,0.0176,0.0404,-0.0074,0.0237,-0.0137,0.046,-0.1056,0.1481,0.012,0.0026,0.0659,-0.0024,0.0272,0.0391,0.012,0.0265,-0.2639,0.0561,-0.0094,0.0165,-0.0098,0.0588,-0.0904,0.1052,0.0068,0.0097,-0.0135,0.0242,-0.0114,0.9286,0.035,0.0358,0.0251,0.2394
건설업,0.0256,0.0208,0.0478,0.0279,-0.0229,-0.061,0.1202,0.3896,-0.0607,-0.1035,0.0716,0.1765,0.0571,0.0433,0.1499,0.0839,-0.0491,0.0714,0.0087,0.104,0.1954,-0.0643,0.0889,0.3626,-0.0688,-0.1118,0.0294,0.1179,0.0069,0.0392,-0.031,-0.0158,-0.0311,0.4098,0.0517,0.0471,0.1429,0.0113
도매및소매업,0.0022,-0.0011,0.0069,-0.0046,0.1103,-0.0004,0.026,0.019,-0.0074,0.0071,-0.013,0.0795,0.0039,-0.0065,0.0163,-0.0038,0.0295,-0.0431,0.0275,0.0447,0.0225,-0.0039,0.0273,0.0227,-0.0029,0.0122,-0.0294,0.0171,0.0153,0.0784,-0.031,-0.0195,-0.0389,0.7727,0.0237,0.0276,-0.0579,0.0256
운수및창고업,0.0173,0.016,0.0369,0.0175,0.0128,0.014,0.0678,0.2109,-0.0447,0.0158,0.0289,-0.0654,0.0137,-0.0007,0.1205,0.031,-0.0296,0.0193,-0.0189,0.2772,0.089,0.0137,0.0617,0.1956,-0.0415,0.0124,0.0179,-0.0747,0.0149,0.0519,-0.0135,0.0049,-0.0296,0.5596,0.0316,0.0346,0.0106,0.0358
숙박및음식점업,0.0266,0.038,0.0198,0.0252,0.0801,0.0254,0.0415,0.0241,-0.0307,-0.028,-0.1683,-0.0952,0.023,0.0217,0.0236,0.0225,0.0264,-0.009,0.0479,0.0578,-0.0084,0.0322,0.0355,0.0205,-0.0386,-0.0546,-0.1313,-0.0321,0.0177,0.0,0.0,0.0249,-0.0089,1.1923,0.0467,0.0411,0.1301,-0.1539
정보통신업,0.0027,-0.0021,0.0266,0.0032,-0.0017,-0.0059,0.0331,0.0227,-0.0288,-0.0721,0.0728,0.019,0.0077,-0.001,0.0282,0.0003,0.0209,0.0217,-0.0022,0.1588,-0.0049,0.0047,0.0344,0.0158,-0.0334,-0.0779,0.0586,0.0368,0.0109,0.0667,-0.0455,-0.0311,-0.0453,0.8519,0.0231,0.0244,-0.0306,0.1759
