year,companyCount,ownerMaleRate,singlePropCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,singlePropWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2019,1064434.0,0.592,0.921,0.89,0.075,0.023,0.009,0.002,0.001,0.0,2962630.0,0.554,0.737,0.34,0.524,0.109,0.027,0.501,0.169,0.106,0.089,0.044,0.051,0.04,41.2,6.2,21.9,175.6,170.9,4.7,3368.0,3272.0,96.0,4337.0
2020,1085699.996566744,0.5920420617215043,0.9182824782077563,0.8991701492872538,0.07001999942289483,0.020010691443871645,0.007340617991194724,0.0016724474413536972,0.001028685978012151,0.00013672177677304847,3046901.4677435607,0.5565240048044241,0.7264866512837842,0.34117152930587435,0.5198454327306703,0.11021696685089244,0.029131369841840365,0.5013552916415837,0.1682047372978847,0.10237982224781704,0.08794844965950718,0.043009474793001254,0.04900659478113903,0.04736075245401515,41.22548200906772,6.374002526731247,20.70838238554519,168.16290740478576,161.42193788470024,6.745865422418923,3560.671002871368,3443.6163262980726,117.07916880818084,4795.833092330862
2021,1108115.9047787716,0.5927847958942296,0.9151335070011599,0.9097673975782301,0.06514753865415496,0.015707265442233054,0.006008135873959798,0.0016217005543916786,0.000937997926481064,0.00020917935323564027,3119814.4320141305,0.5597567697253314,0.7143351908205395,0.33996446861012597,0.524558962555805,0.10794074219773354,0.028035512019529543,0.49794156808845935,0.16803049856376867,0.0987280399776223,0.0892212689352404,0.04531277544659196,0.047516976903046085,0.052457777865929395,41.25744960061187,6.425620680205143,20.2567716472584,164.02658998345834,157.79351597083286,6.231222314917165,3730.6609435141895,3603.7914493916296,126.87845606100933,5078.696685462712
2022,1130781.8458024794,0.5935174892667767,0.9111144695809807,0.9206326611548944,0.05971419809315859,0.011629688001009442,0.004613665802406887,0.0016841255061557682,0.0007552429418635669,0.00028993739558709963,3191416.2683854867,0.5635850505422025,0.7002239448484775,0.33822801721400153,0.530310841922189,0.10510814754112992,0.026868295219541802,0.4933953093748916,0.1673647244571676,0.09565600149820067,0.09006644365064459,0.04847343389250011,0.04610400758360651,0.058099776495308036,41.33931036199753,6.475882162800818,20.13855578077497,162.19402804045112,156.94770231305455,5.2438826907305796,3892.765738176282,3760.694532641256,132.05820153110284,5232.153303589133
2023,1153566.6045573035,0.5943205924829839,0.9062308984906664,0.931628812868762,0.053707484312389586,0.007979268353487834,0.0032325469822039182,0.0017535141403734779,0.0005490277602002765,0.00038657694422859854,3256898.9969012733,0.5678074748520561,0.6845449374699762,0.33642360501088164,0.5355527603375777,0.10233799533720296,0.02620132870100765,0.48858659913363167,0.1662872725383469,0.09295842362051973,0.09030606273087172,0.05134957651037056,0.044571432207414954,0.06509982387056043,41.44617721681341,6.553495483713263,20.083449997803665,161.14716093257456,156.64631205231365,4.498741113201156,4057.9231833539284,3921.5140373162035,136.38099870451998,5350.841691893018
2024,1176432.0807758744,0.595350476449973,0.9004704981332909,0.9426390227843673,0.04718770740577627,0.004742847995552635,0.0019768446545526744,0.0017843591262074361,0.00034263752287292705,0.0004954112508205985,3316087.964960191,0.5724306919412498,0.6673891227146052,0.3345897216682999,0.5404613574895035,0.09951048500036226,0.02595424271443879,0.48349339719367257,0.16486485220673847,0.09056381940527719,0.09029943512453753,0.05373485707086886,0.04286339655532602,0.07333245764715676,41.549730612053864,6.658283343397065,19.99596268677899,160.12086271578804,156.09869823759863,4.019621826591802,4230.60096814599,4089.8425530061577,140.72429728481274,5479.534553565874
2025,1199453.4714733372,0.596692728240456,0.89386432546239,0.9536108411946519,0.04025467179503417,0.0018179787748233978,0.000886883469551257,0.001781135496254558,0.00013811350796258566,0.0006146442264184974,3369804.261103461,0.5774943146397842,0.6488498868466333,0.33269179733047416,0.5452908553982924,0.09652062416371616,0.026021865532264585,0.4779715061653612,0.16314388420969933,0.08838020342229819,0.09030054566266654,0.055753383959420616,0.04096987654303148,0.08261345054834565,41.63811213360845,6.785030606579886,19.869147490680508,158.9539789744271,155.2489435407864,3.7017094779576496,4412.177501888952,4266.758887429755,145.38385938123025,5632.47552098358
2026,1222718.3984902084,0.5983821257563608,0.8864421017225695,0.9645075010297979,0.03300405295020242,-0.0008738791757882391,-4.114565573155177e-05,0.0017605247231420075,-6.639616616284545e-05,0.00074500116962044,3418788.0760992183,0.5830168198076415,0.6290074495806071,0.33070902052546447,0.5501393797798243,0.09331868514225312,0.026376081067448473,0.4719348161505279,0.16116016952438145,0.08634662075868316,0.09042054056180171,0.057552487683733305,0.03890832639441989,0.09277960421562023,41.709406840369795,6.929851111694481,19.716327638137297,157.6907819955534,154.214529657076,3.4722575632495136,4603.02354128121,4452.443401070864,150.54842338305713,5812.92172233477
2027,1246292.3873025905,0.6004322817173233,0.8782183811067299,0.97528489872173,0.025516301390421325,-0.0033726436325067777,-0.0008229863215804684,0.0017392296079336601,-0.0002716390284633798,0.0008878698137361582,3463609.5956272404,0.5889971565813668,0.607904487144012,0.3286251526375499,0.5550218846583902,0.08989427895135656,0.027026206022501983,0.4653336607840072,0.15894227350865925,0.0844331426887702,0.0906980346042936,0.05924273890763773,0.03670247559499469,0.10371284092998598,41.76566954415129,7.09033826552207,19.54931265391284,156.40147289777175,153.1000424523986,3.2971062032128557,4803.274067767669,4646.8729034005555,156.3751365000715,6021.008661004267
2028,1270215.3573999386,0.6028531993084739,0.8691918339564251,0.9858889832241419,0.01785355846825637,-0.005689845662546489,-0.0014702636360352864,0.0017309712990763483,-0.00047679973339333215,0.0010443435453629441,3504746.5947859553,0.5954281827099891,0.5855458812354928,0.32641679610798435,0.5599358002688085,0.08625734617809118,0.027986253093373922,0.4581233874203925,0.15651058834314174,0.08262979812751625,0.09114831631595788,0.06090195368892512,0.0343756376199499,0.11533417801635801,41.80985813925819,7.264940565476881,19.37503837346625,155.1329181065523,151.96683980825566,3.1618216929095055,5013.055199984688,4850.060904628168,162.9758171553736,6256.205196642111
