year,companyCount,ownerMaleRate,singlePropCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,singlePropWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2019,829555.0,0.415,0.965,0.898,0.081,0.017,0.004,0.001,0.0,0.0,2023871.0,0.386,0.879,0.51,0.278,0.207,0.004,0.635,0.206,0.085,0.041,0.014,0.009,0.01,41.5,3.3,21.4,170.8,162.9,8.0,2214.0,2086.0,129.0,958.0
2020,848974.6703823903,0.42610126859128905,0.9642051603012278,0.8930425482104019,0.08304214252548386,0.0180802662905947,0.00485591237809261,0.0005766694172688915,-0.0003698423077750576,0.00029213434069052776,2025154.8550552146,0.39205820181107,0.8816149110587541,0.5157692571140953,0.26822593670086603,0.20201211857241735,0.014592479081916118,0.6373158413858554,0.20654781797614258,0.08343934384172708,0.04305097102746047,0.009761855445963266,0.00918377571964192,0.010604129856305683,42.20896084301805,3.562195602225551,21.23000882275049,171.7514483201935,161.52163118407933,10.263133223820823,2337.1132450979253,2176.450830970264,161.0273308028373,865.4623695111077
2021,867534.9001026873,0.43645499330957255,0.9612165436273875,0.8875428850262359,0.08361155219443239,0.0207616024152441,0.0068294343529963705,0.0006573211674758585,-0.0004708074473919622,0.00036815049777970616,2019706.0719738435,0.3980098418633009,0.8781253113995295,0.5196606502060737,0.26340725754920336,0.196358396764564,0.020681149930198636,0.6362922258768214,0.2043312711448989,0.08492389736266176,0.04668901442046408,0.009510012173244042,0.009332033822484001,0.008225941895859457,42.68275592342751,3.666105077430266,21.277630375312473,172.22172763906357,161.93382921732635,10.305001070852317,2450.020128517137,2274.1291798145994,176.23171783523713,773.8072945696567
2022,885715.8556539831,0.4468112597958499,0.9567984167769417,0.8786159552673689,0.08555990395036406,0.024555828936048026,0.009638407075442133,0.0009855893105666959,-0.0005189118741111224,0.0004206721319643795,2009166.7393676038,0.4034618740727849,0.8731540459088027,0.5225739546230541,0.2594624361722957,0.19189062554670205,0.02613519001997193,0.6329884757613128,0.20212436812685236,0.08723426638221418,0.051637736475218854,0.009352541235013972,0.008856208934589466,0.007163878284135089,43.19998739548005,3.767667664980964,21.311643434410225,171.96463048218223,162.01097646548897,9.97505989675587,2564.0930307677945,2376.5509183927034,187.8374275702684,699.6067237456582
2023,903395.3174190831,0.457506119131895,0.9512649342445268,0.8669567844193377,0.08837723232064792,0.02937823324234172,0.01314298251864967,0.0013859947823504117,-0.0004966542648985293,0.0004815034414064963,1992041.3259563362,0.4085922606301984,0.8678052287853703,0.5251098340334253,0.2557429749793681,0.1879210234567511,0.031278975499396275,0.6285116120921334,0.19974294147176958,0.0902368172069813,0.0576393581916744,0.008715032756829166,0.00850508666966597,0.006048050359090507,43.764981524646856,3.8875479940073423,21.307726179801566,171.2491054528094,161.6846225640538,9.590702013729103,2678.8115639395783,2481.641463041416,197.46102720145603,647.7855165740984
2024,920790.0392420908,0.4685777012652042,0.9449308461875351,0.8530396421017706,0.09191737255114779,0.03502660311434552,0.01719344892321282,0.0018800593154421237,-0.00041772164561767154,0.0005571692222094879,1969265.934018863,0.41349422531311036,0.8625053076778626,0.5274248436870406,0.251979165607498,0.1845743630677018,0.0360916489970068,0.6231490994879741,0.1970768443473616,0.09367427567725353,0.06441974518951368,0.007817088408970302,0.008287920005336694,0.00502919049301806,44.3803139105,4.020777767981768,21.297505066233793,170.40887048098043,161.212893664114,9.227470015938778,2793.39328552464,2587.0906385684016,206.59722591715553,607.7753330542546
2025,938034.5816322519,0.4800531419459878,0.937944314466107,0.8370899648096223,0.0960992855888324,0.0414259400785941,0.021715349977529226,0.002467876893164484,-0.0002884491570478518,0.0006493361303450116,1941909.575378317,0.4182153619683817,0.8573570946504403,0.5295599379110528,0.2480588177745523,0.18185322448626767,0.04062454776155415,0.6169584941173635,0.19409063257818,0.09747229571191439,0.07185503259783993,0.006782345193051209,0.008244342352712944,0.004105274678924881,45.03967508840602,4.1619473414330415,21.2866099654795,169.52848967655646,160.6508972637522,8.914492041600308,2908.1259330865214,2692.4611091668116,215.96678163876066,574.9161647453548
2026,955239.9869374821,0.491957463185273,0.9303792763620945,0.8191818806251976,0.10091690864918457,0.04854330910723738,0.02667083146087184,0.0031515926799440645,-0.00011303971546361771,0.0007583422387883909,1911175.0270965896,0.42278593577394574,0.8523666266151031,0.5314976950866724,0.24391335471607384,0.17975860591380793,0.04495769322037314,0.6098819413256985,0.19079350286414692,0.10160287665154068,0.07988900120238296,0.005696504620334636,0.008401347932712008,0.003298520975310998,45.73799508755865,4.306655870375009,21.277590039320522,168.6382575657582,160.02556765138596,8.655171661867058,3023.4430533227105,2797.784479024739,225.9691899068656,544.6047231480388
2027,972496.1616237184,0.5043211973702602,0.9222629017719066,0.7992888704564893,0.10640126552254064,0.05638150871008901,0.03204910391937029,0.0039342097120544685,0.00010654419129383069,0.0008844468449623736,1878279.2030224665,0.4272272463555201,0.8475073364444785,0.533199372374734,0.23947530411290968,0.17829736030757098,0.049187662084512404,0.6018166022169145,0.18720641353303863,0.10606630164662294,0.0885010574313696,0.00461314682185493,0.00878610244229612,0.0026322380937357226,46.47208549870155,4.451855207713431,21.271806308987,167.74951691663378,159.35344696843157,8.444372319416479,3139.7999082168635,2903.298625990347,236.82116979142342,512.613112316174
2028,989876.6210618622,0.5171812916705544,0.9135940378657378,0.7773142859349789,0.11260474271372989,0.06497020756946378,0.037859441702900676,0.0048200465674527355,0.0003702432920548119,0.001028121763852825,1844381.1569629894,0.43155372319260954,0.84274751186679,0.5346195246232757,0.23466653731110665,0.17749129467676178,0.05341484517408028,0.5926430978050164,0.1833487779521104,0.11087827855891252,0.0976911655681395,0.003563771877159047,0.009425753114698995,0.0021341707021182155,47.24057719989378,4.5956328262327215,21.27010365821619,166.86650072391146,158.6456728323052,8.27525646182021,3257.6322190799956,3009.3161542295607,248.6457292594397,475.2411100397494
