year,companyCount,ownerMaleRate,singlePropCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,singlePropWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2019,191529.0,0.425,0.936,0.769,0.104,0.045,0.041,0.033,0.006,0.001,1579773.0,0.351,0.721,0.103,0.739,0.109,0.048,0.159,0.08,0.074,0.153,0.284,0.099,0.151,43.7,7.6,20.2,155.2,152.6,2.7,3425.0,3377.0,48.0,3172.0
2020,197691.91259341213,0.4227174855629112,0.9318926454676264,0.7737458941168291,0.10321981326900448,0.042347910837060854,0.03906010766898648,0.032667518471918025,0.006772700085430346,0.0014231697000058954,1587084.7677429034,0.34789430341584693,0.7090451767701449,0.10689326753034883,0.7251338628054212,0.10786837662676547,0.060218757661149015,0.16218576077296484,0.08030830887027159,0.06988030100802689,0.14949840669819348,0.2750930667893604,0.1052204313650358,0.1583310779361646,43.68758868186485,8.091138349733434,19.201100310852393,150.10191448388295,145.54291048845494,4.559054790087721,3610.3565671480555,3535.439605792573,75.28597748759438,3587.8117551049954
2021,202332.89209722748,0.4205209863853197,0.928483481143956,0.7808954041354014,0.09837722538309274,0.040707942158637045,0.03781013934539399,0.033035367365332136,0.00711197199232208,0.0016376238571005957,1615198.1452373578,0.346890238760495,0.6951502349861155,0.10928062402618993,0.7206115733126129,0.10610472320370197,0.0640743526973249,0.16301719962127,0.07654703213881849,0.06769387647692782,0.14659358358942298,0.2742162742434525,0.10836751874154373,0.16372260313718165,43.61792162625939,8.31943038253981,18.98932981945011,148.5060197942723,144.5170181619573,3.9737028580053035,3748.886642697417,3664.761970563934,84.55471917847586,3836.155383967498
2022,206389.82150308214,0.4182889577975768,0.9254200053857564,0.7887817023118866,0.09263865137431537,0.03890197099459397,0.03691357635146952,0.03346931733916336,0.007262790403630207,0.0017766224870843467,1629707.5056574862,0.3464948186094179,0.681546628286123,0.11087168791759974,0.71882824829083,0.10506144420255965,0.06543324032581607,0.16307007607048515,0.07239688387925065,0.06511056285178324,0.14392538451912862,0.2749257174629858,0.1102674780592481,0.17052940606151165,43.5777267616939,8.484009280193357,18.946202961590604,147.89804358041889,144.51591545594624,3.366856707610829,3878.6739894482494,3787.596478470564,91.47561371821786,4040.4882683570722
2023,209871.657239977,0.4160636520501323,0.9221245341321775,0.7968382724373304,0.08666909223196168,0.037090681029021355,0.03620142744720446,0.03379161976901213,0.007328754061823921,0.0018851335044401938,1631388.4126760638,0.3465194969655414,0.6679064171083366,0.11208387915158888,0.7185517867198566,0.10384138533926697,0.06578046383192564,0.16262112057453718,0.06843411976959286,0.062470137389039226,0.1414846571255809,0.2756042619244502,0.11158956493598883,0.17803080194127904,43.54560224995254,8.633114980505013,18.882475721671785,147.2351284472268,144.20302991577182,3.0172907939179865,4008.9141713521567,3911.811459185516,97.48412139795738,4239.9352849640345
2024,213049.03544063735,0.4138692172715026,0.918443662092262,0.8048493507655665,0.08077495201651164,0.0352451703684693,0.03558608937019623,0.03403066681923386,0.0073464804146120555,0.001983198546431577,1623558.1870261054,0.3468717262063963,0.6539756862484684,0.11297667824837312,0.7193624086590978,0.10232548322234254,0.06564582071725181,0.16152154255584641,0.06478496884205105,0.059796602375806696,0.1392878231376411,0.2761270827492074,0.11248986202949664,0.1862174208258027,43.51315166271263,8.776918485194345,18.783949279609846,146.39410360318843,143.53018746012822,2.8496421671509395,4143.046947563738,4039.871547634366,103.54656320567307,4445.516103273001
2025,216087.49182801586,0.41174120021148564,0.9143027810400355,0.8127284206544958,0.07502237791940047,0.03338374281371065,0.0350243042524697,0.03421843518969808,0.00733686571361878,0.0020819482907034072,1608944.2851981106,0.3475055464164116,0.6395451756521537,0.11357940131311067,0.7209715743182804,0.10047498647227333,0.0653311087709329,0.15969260323644305,0.061412163371886555,0.057140763353494994,0.1373168084555514,0.27658438805340957,0.1131124803178626,0.1949385285216507,43.4749494179146,8.919100701404258,18.66173112157897,145.43814186369607,142.6407877653047,2.7836052632734223,4282.647824619032,4172.982317028982,110.0331957188967,4661.373870999856
2026,219084.9823641377,0.4097114413356763,0.9096644924428385,0.8204318657018744,0.06941477899686638,0.03153333503788508,0.034491513547831414,0.03438554596230309,0.007312232595084987,0.002187508739375782,1589425.934276707,0.348397144095428,0.6244682039563515,0.11390684355281053,0.7231390734320234,0.09833167414220374,0.06502256931383314,0.15710434533245796,0.05825133979045978,0.054531313641476176,0.13552738088223615,0.27708448874577174,0.11354530381458684,0.20411826952370846,43.429908611546225,9.061692411853981,18.528358421047603,144.45674332008568,141.66850607286722,2.775181603710628,4428.50096167288,4311.729490896876,117.14027105795259,4888.61269380615
2027,222084.9496169278,0.4078156337275298,0.9044987723708584,0.8279246267382867,0.06393165822774016,0.02972865588644308,0.0339821359396457,0.034554319426400026,0.0072809333600032805,0.002303010408390984,1566225.8760305229,0.34953968924499224,0.6086303933173592,0.11396105644249949,0.7256911569907679,0.09595607128997914,0.06483219412363662,0.15374216182821523,0.0552399867221401,0.05198830797709353,0.13388493620235142,0.27770308673831434,0.11384359731130124,0.21372324724655642,43.37828317068724,9.206195302341754,18.390525193963914,143.50130284826278,140.68504306065654,2.8041177267437334,4581.123347761114,4456.552049984191,124.9441950012395,5127.941795147208
2028,225098.18677220418,0.40609364362559297,0.8987764638024174,0.8351724149386759,0.058546229612912115,0.028004235769687857,0.033504394824040364,0.0347403710396077,0.0072488169564242436,0.002429900130642895,1540130.188919257,0.3509403840792574,0.5919386905944319,0.11373284844465395,0.728516612062324,0.09340906794644961,0.06482034433476715,0.14958848933462396,0.052323439359702476,0.04952365437752393,0.1323730804408887,0.27848798844196787,0.11404146327951638,0.22375149248211199,43.320700963013294,9.353791245785658,18.25085303237164,142.59021072313854,139.71927287499477,2.8599270503040586,4740.922439944838,4607.853051302331,133.44817628060702,5379.96184427116
