year,companyCount,ownerMaleRate,singlePropCompanyRate,U1D5CompanyRate,U5D10CompanyRate,U10D20CompanyRate,U20D50CompanyRate,U50D100CompanyRate,U100D300CompanyRate,U300CompanyRate,workerCount,workerMaleRate,singlePropWorkerRate,selfEmpFamilyWorkerRate,fulltimeWorkerRate,dayWorkerRate,etcWorkerRate,U1D5WorkerRate,U5D10WorkerRate,U10D20WorkerRate,U20D50WorkerRate,U50D100WorkerRate,U100D300WorkerRate,U300WorkerRate,avgAge,avgServYear,avgWorkDay,avgTotalWorkTime,avgRegularWorkDay,avgOverWorkDay,avgSalary,avgFixedSalary,avgOvertimeSalary,avgBonusSalary
2019,129778.0,0.816,0.851,0.697,0.173,0.071,0.038,0.012,0.007,0.003,1159853.0,0.662,0.475,0.068,0.862,0.064,0.007,0.148,0.122,0.105,0.125,0.091,0.132,0.278,40.3,7.5,21.6,176.4,171.5,4.9,4242.0,4069.0,173.0,8300.0
2020,127571.40097940603,0.807614149803694,0.8469029363552713,0.7072865347574037,0.1709768347030547,0.06733567171495516,0.034243950527005365,0.010423969046648909,0.006698575129558392,0.003024268129492218,1110673.772626766,0.661670962743937,0.4617347345686522,0.0696194607225169,0.8633170447515014,0.05902573160540235,0.00828255332122848,0.14778207156030754,0.12518668852234272,0.10432430131934736,0.12418003412581088,0.08347852098235699,0.12804411041857772,0.28596428027217335,40.527947521490866,7.757526867572049,19.997616123287926,166.39966867719454,158.27323661579888,8.111875119625356,4412.412774077631,4226.971707057857,185.32037303384692,8665.668080358135
2021,129552.67964817287,0.8002369460276677,0.8440402306156518,0.721720527049384,0.16596371654451453,0.06189006772330466,0.03112667890398163,0.009841162694616924,0.006377684326131339,0.0030229313505657565,1062857.7310768072,0.6621938616281796,0.4482380561870369,0.06873278616660711,0.870452761535146,0.055023903056038395,0.0063220839686678465,0.1446134655406989,0.12648000962924538,0.10143529898701696,0.12415312680935031,0.08408637487620621,0.12490895507876555,0.2932118878329093,40.606671201284485,7.820783842708847,19.442986149655347,161.84121501599304,153.34904723259447,8.468243121063416,4585.292354047537,4388.273616582681,196.89892617985703,9044.058187573824
2022,132303.6406073445,0.7931021925075984,0.8407776257725791,0.7377054530103913,0.15890753046003642,0.05659638745417872,0.027856124532118366,0.009613252506666285,0.006049009871886335,0.003069780572146422,1031520.5119509199,0.6636445184737939,0.43300191178489644,0.06748958205998476,0.8768481056815314,0.05173449942545445,0.004488119013018224,0.14095459492149628,0.12614155465729376,0.09862299062055498,0.12271309477001341,0.08705010642533059,0.1225589686074038,0.3007724846705807,40.66402770446696,7.88878919368598,19.277787556655685,160.08675444701518,151.85370239842547,8.207140682400379,4761.337628887341,4554.701164694002,206.54530029936112,9341.43782695507
2023,135268.12288318767,0.7861600892530589,0.8368801029948191,0.7546397165006418,0.15062049954692527,0.05148046647740162,0.024494774300124082,0.009551033587712175,0.005738316911268644,0.003151296697257375,1006358.2027309532,0.6658485233643918,0.4161396971399093,0.06617869363641518,0.8818850239254628,0.04929575113148872,0.0032126578373023323,0.13722211118689207,0.12500053480561624,0.0956755655443425,0.12008009383322332,0.09055938350182605,0.12038407837545746,0.30991442507356126,40.706095575943316,7.989788398658005,19.186294312706945,159.2147316844579,151.09933262928422,8.08970550918714,4948.299942924533,4731.550677181369,216.66933784979943,9617.88013214095
2024,138134.09214437747,0.7795439068382334,0.8321801376530004,0.7722299163612758,0.14135236246149585,0.046519704264292305,0.0212229937853708,0.009545341201707556,0.005453295005585553,0.0032536644535393765,982935.4602456442,0.6688327085712331,0.3975059968185777,0.06474688970824041,0.8862040928440483,0.047295155105421885,0.002334636939810522,0.13317327808078241,0.12333404209475453,0.09259180677091419,0.11688280834273262,0.09413338099265475,0.11823257910140962,0.3205055913150686,40.71251784473099,8.122115616324123,19.0605635731599,158.3253336569201,150.16467493297228,8.134376458408312,5149.295939401148,4922.1125384795105,227.11206611103844,9908.004964471773
2025,140821.3980496127,0.7733233714614594,0.8266263419335625,0.7903430209089216,0.1312830897142849,0.04161776408428919,0.018115443794613793,0.009569606139901796,0.0051850004368411105,0.003371422095592353,958951.4744062847,0.6726419254769029,0.3770765035904623,0.06313231245052789,0.8902493263162723,0.04550173648801066,0.0017158216156907408,0.12857379173793457,0.12126876332901228,0.08932146947746941,0.11349897660393327,0.09774911804023881,0.11600716531241408,0.33243859325806735,40.678421390172666,8.28045789036048,18.893239291365735,157.24263850171948,148.9695671613752,8.245806557975179,5364.818112246956,5127.0736822776325,237.6797026444606,10221.574112281429
2026,143312.15831843746,0.7675242086266665,0.820196697997823,0.8089073479026818,0.12054680738099452,0.03671027383884057,0.015180727236584195,0.009617658240995117,0.004924547946463277,0.0035041889206539893,932677.2789605991,0.6772883180293806,0.3548673497207746,0.06132324074408717,0.8942118362339384,0.04376905395971882,0.001322946902218694,0.1233183573845664,0.11888026171943152,0.08584700598522141,0.11010247214299346,0.1014407832307472,0.1136626828414319,0.34559648048817726,40.60635070140776,8.461514709674336,18.695841043487068,156.00448386644936,147.60535993050667,8.370915253672301,5594.737364318613,5346.3308010323235,248.3481621862265,10561.213912018415
2027,145598.28491710773,0.7621538674550159,0.8128748638754594,0.8278731330358209,0.10924533804631469,0.03176634105080167,0.012401192449171657,0.009689124486144871,0.004666183022638444,0.003652988987725908,902719.6329109413,0.6827597660330391,0.33088370253251986,0.05932469073963148,0.8981679434551963,0.042002490844730914,0.001167125296405766,0.11736583413237375,0.11622093975238375,0.08217750531064108,0.1067661151351203,0.10523820354576949,0.1111760706995223,0.3598818242057653,40.500977908489574,8.663373484518107,18.47849131356826,154.6791049722867,146.15685035052252,8.493344732043475,5838.86938400177,5579.609660865692,259.20823932046653,10927.931378989571
2028,147666.72019412694,0.7572174612947835,0.8046421171669116,0.847199514876059,0.09745240064945188,0.02677726813135034,0.00975461788586128,0.009785075187040197,0.004406810285516927,0.0038187088757302965,867989.7868393916,0.6890372149706374,0.30510649581482696,0.05713681804192948,0.9021629656263795,0.040136810621194965,0.0012661440195616963,0.11069112309065551,0.11332706866595872,0.0783367896040941,0.10352326284827934,0.1091657057306887,0.108535308856634,0.3752164920024257,40.36672179373342,8.884733709793881,18.24729815129137,153.31733384958088,144.6759519365296,8.612064660207494,6097.105470941033,5826.6854528660715,270.3763402382409,11322.550068128543
