산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3950169,2453227,1496942,21259126,12194129,9064997,3714536,15051120,47107,2581144,188526,3626862,3889038,13692035,2712028,966025,3173185,5705519,454806,2900439,176344,2331473,96370,2873053,30808,2106649,14710,2292599,2050,775166,1270,874027,626,1400201
농업임업및어업,3627,3119,508,39650,28664,10986,2887,25146,166,4682,574,9822,0,29108,8039,2503,1597,3650,1007,6609,542,7217,367,11141,84,5907,28,3806,1,0,1,0,0,0
광업,2012,1795,217,15861,13780,2081,1831,10484,51,981,130,4396,2078,12832,769,182,1397,3113,256,1767,171,2408,158,4573,24,1680,3,486,1,0,2,0,0,0
제조업,430948,343894,87054,4097338,3030512,1066826,406634,2612292,10094,685066,14220,799980,414816,3419747,238774,24001,275391,579303,87151,581319,32669,445263,24580,736538,6895,472893,3569,564788,370,138681,204,137599,119,440954
전기가스증기및공기조절공급업,1584,1420,164,58688,50260,8428,741,4357,67,10842,776,43489,284,57455,868,81,769,1591,218,1441,100,1392,221,7703,176,12391,72,13132,16,5841,7,5365,5,9832
수도하수및폐기물처리원료재생업,8521,7195,1326,102578,85592,16986,7283,76941,297,8768,941,16869,3387,92456,6300,435,3939,9581,1919,12646,1237,16754,1072,32543,279,18722,72,10474,2,0,0,0,1,0
건설업,137220,112614,24606,1392554,1196280,196274,131174,1140183,2840,188139,3206,64232,89521,660201,599333,43499,75540,159358,31600,199388,19528,253951,7184,209468,1776,119358,1212,191912,213,80240,116,77603,51,101276
도매및소매업,1017340,599707,417633,3141900,1686836,1455064,950548,2390012,11077,256071,55715,495817,1061246,1574964,328084,177606,894254,1619584,84859,528033,24985,325897,10027,285466,1987,133793,1065,161972,108,40247,43,31097,12,15811
운수및창고업,385968,361231,24737,1111060,965557,145503,374977,807631,1995,129688,8996,173741,364549,599574,56454,90483,362558,395298,9272,61183,6402,85376,4338,132612,1868,129256,1387,214766,92,33626,41,27625,10,31318
숙박및음식점업,729175,279036,450139,2162823,785450,1377373,708981,1909896,1308,29475,18886,223452,979655,600540,553944,28684,633168,1304871,76725,469909,14675,183731,3499,99384,902,58677,168,25707,25,9763,9,5480,4,5301
정보통신업,42539,35325,7214,567284,394306,172978,38361,360488,1274,129278,2904,77518,15427,502998,37793,11066,24271,50772,8521,54933,4723,62599,3070,93361,1056,72232,737,118428,98,37656,43,28169,20,49134
금융및보험업,42809,36292,6517,730963,326781,404182,10867,75377,3281,169203,28661,486383,5971,439754,18113,267125,11949,27206,10993,75645,10779,142390,7111,218994,1420,91021,407,64120,73,28189,48,33692,29,49706
부동산업,143461,93325,50136,501974,315821,186153,136214,390706,1154,46469,6093,64799,114594,326949,32017,28414,120118,201003,15035,96176,5881,76417,1904,54190,308,20663,170,25380,27,10304,11,7377,7,10464
전문과학및기술서비스업,103223,88163,15060,1002371,674192,328179,89032,506854,5263,264267,8928,231250,67795,870821,56404,7351,66028,142605,21699,140737,8692,112733,4395,129172,1298,88412,796,127615,165,63499,101,68961,49,128637
사업시설관리사업지원및임대서비스업,67237,48140,19097,1148968,615856,533112,55804,603892,2835,326041,8598,219035,40262,903591,163014,42101,45453,88585,8627,55659,4871,65900,4480,135663,1743,119843,1346,226152,357,133920,279,193054,81,130192
공공행정국방및사회보장행정,12454,11614,840,691270,461951,229319,12196,679679,42,7030,216,4561,0,629677,59547,2046,1827,3541,1581,11207,3655,53353,3286,96710,938,62908,651,106244,245,95605,191,137613,80,124089
교육서비스업,180595,80762,99833,1559558,578898,980660,170054,1121239,1657,154086,8884,284233,154661,1065929,224278,114690,135861,236296,19364,123021,9577,130420,8286,257084,6093,428114,1139,147942,110,41753,90,61824,75,133104
보건업및사회복지서비스업,141372,77014,64358,1674556,329990,1344566,131734,1241660,1730,117847,7908,315049,114895,1351052,160961,47648,60250,178621,48609,308173,19211,252417,8552,256766,3102,211817,1379,214353,115,42166,75,50025,79,160218
예술스포츠및여가관련서비스업,110230,62646,47584,394913,206305,188608,107531,326750,432,22146,2267,46017,127604,141315,92760,33234,97354,173162,8617,53918,2294,30167,1197,35627,382,26651,350,52434,26,9943,6,3987,4,9024
협회및단체수리및기타개인서비스업,389854,209935,179919,864817,447098,417719,377687,767533,1544,31065,10623,66219,332293,413072,74576,44876,361461,527379,18753,118675,6352,83088,2643,76058,477,32311,159,22888,6,2232,3,2186,0,0
