산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3355459,2107606,1247853,17646973,10396007,7250966,3180319,12433786,41222,2292606,133918,2920581,3550264,10699035,2529432,868242,2804612,5075161,283153,1841398,142499,1894082,82250,2463742,27102,1856784,12552,1960673,1685,639969,1042,704532,564,1210632
농업임업및어업,2253,2080,173,29433,21862,7571,1674,17613,120,3036,459,8784,23,18832,5852,4726,869,2078,547,3679,460,6095,282,8485,71,4895,23,3327,0,0,1,0,0,0
광업,1752,1594,158,15981,14064,1917,1590,10105,55,1121,107,4755,1931,12621,1334,95,1193,2970,179,1215,205,2889,150,4369,17,1134,4,569,1,0,3,2450,0,0
제조업,336908,276281,60627,3422439,2515572,906867,318438,2106343,8944,625243,9526,690853,341097,2781747,287274,12321,221869,465940,52725,356913,31996,432570,20778,622405,5805,396916,3142,493707,304,114412,173,114890,116,424686
전기가스증기및공기조절공급업,951,923,28,51562,46030,5532,189,1925,59,9943,703,39694,36,50453,991,82,313,747,154,1058,49,678,187,6315,148,10723,70,11851,16,5786,8,5664,6,8740
수도하수및폐기물처리원료재생업,5996,5321,675,84132,71855,12277,5117,64809,246,6788,633,12535,2081,75205,6486,360,2335,5918,1352,9031,1080,14753,930,28159,228,15256,69,10282,2,0,0,0,0,0
건설업,98859,85797,13062,1176826,1041009,135817,93335,896471,3069,213609,2455,66746,66466,539971,549494,20895,57576,117049,17396,116136,12163,163523,8125,242258,2172,146646,1089,174235,186,69974,107,73799,45,73206
도매및소매업,873632,523085,350547,2618185,1420547,1197638,827814,2023136,9148,206589,36670,388460,1025370,1115090,303343,174382,786570,1435821,55478,352827,20379,266350,8440,238322,1733,118181,891,133475,97,35869,34,21994,10,15346
운수및창고업,347289,333360,13929,989773,897880,91893,337995,705525,2167,133500,7127,150748,331551,529767,42217,86238,329489,359528,6473,42861,4667,63444,3711,114120,1525,106086,1267,202978,102,38499,44,28838,11,33419
숙박및음식점업,636278,222797,413481,1760917,602962,1157955,628002,1613967,752,26758,7524,120192,904678,369813,456966,29460,583121,1221273,39709,249395,9821,125278,2857,82556,613,40388,125,20680,17,7098,11,7886,4,6363
정보통신업,26299,22546,3753,464158,331788,132370,22583,273192,1298,121379,2418,69587,9827,409815,35730,8786,12826,30319,5595,36408,3503,46769,2658,81465,951,65604,606,95817,93,34658,49,32192,18,40926
금융및보험업,39485,34965,4520,714769,327071,387698,9133,66528,3632,179485,26720,468756,5871,428044,21954,258900,10564,24381,9525,66656,10591,139656,6703,208242,1568,100703,378,57672,83,31545,40,27005,33,58909
부동산업,114006,79205,34801,417457,278959,138498,108726,330612,1225,39369,4055,47476,97388,267638,29829,22602,95297,155769,11003,72055,5266,69074,1963,56069,324,21321,119,17990,18,6357,8,5517,8,13305
전문과학및기술서비스업,70372,62506,7866,769087,541100,227987,60470,370349,3947,237954,5955,160784,50546,659451,48297,10793,43918,101562,14636,93208,6244,82941,3507,105092,1115,76035,702,116308,129,49501,78,53251,43,91189
사업시설관리사업지원및임대서비스업,48268,35397,12871,830441,442841,387600,39224,452730,2517,225678,6527,152033,31781,600169,151971,46520,33252,65481,5074,32948,3640,49156,3320,101563,1377,94822,1150,192282,234,89953,159,106587,62,97649
공공행정국방및사회보장행정,11869,11394,475,662894,466951,195943,11736,656493,28,3755,105,2646,2,565563,95004,2325,1947,3643,1477,10877,3486,49599,2845,85699,993,65347,627,106446,217,84029,192,131694,85,125560
교육서비스업,166527,77766,88761,1430894,538063,892831,157259,1047701,1413,148466,7855,234727,152588,950519,232152,95635,126210,227294,16441,105599,9240,124844,7423,229076,5887,416926,1104,144160,88,34251,80,54629,54,94115
보건업및사회복지서비스업,108081,62621,45460,1097838,242542,855296,102504,821024,1111,67297,4466,209517,89653,889204,98178,20803,58855,182126,29082,185949,12442,161089,4960,149702,1779,122917,784,117995,63,24195,51,34706,65,119159
예술스포츠및여가관련서비스업,101745,59841,41904,319954,176476,143478,100389,269427,266,18879,1090,31648,123778,101140,75420,19616,95286,168175,3532,22488,1400,18567,920,27731,301,20608,271,41850,27,9919,4,2556,4,8060
협회및단체수리및기타개인서비스업,364889,210127,154762,790233,418435,371798,354141,705836,1225,23757,9523,60640,315597,333993,86940,53703,343122,505087,12775,82095,5867,76807,2491,72114,495,32276,131,19049,8,2805,0,0,0,0
