산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3293551,2071898,1221653,16817946,9888306,6929640,3129514,12214689,35764,1887690,128273,2715567,3522626,10249535,2214289,831496,2723973,4881616,318882,2031352,135433,1793399,75497,2260111,25022,1706469,11692,1841102,1632,622162,956,654416,464,1027319
농업임업및어업,2336,2175,161,30238,23142,7096,1789,19070,76,2377,471,8791,55,20296,5983,3904,871,2003,568,3792,504,6695,300,8993,71,4923,21,2922,0,0,1,0,0,0
광업,1817,1674,143,16571,14534,2037,1620,9665,67,1272,130,5634,1871,13332,1309,59,1185,2756,254,1708,212,2973,139,4032,22,1472,1,0,1,0,1,0,2,0
제조업,328565,270534,58031,3262933,2397865,865068,309549,1997345,8299,605892,10717,659696,336458,2639355,274359,12761,211366,431441,59163,392259,30167,404545,19037,571604,5249,359557,3009,472509,297,112458,170,113836,107,404724
전기가스증기및공기조절공급업,910,880,30,51727,45777,5950,252,5115,64,9358,594,37254,44,50177,1036,470,270,697,149,996,59,805,183,6144,150,10785,72,12987,12,4520,9,6377,6,8416
수도하수및폐기물처리원료재생업,5683,5057,626,82872,70879,11993,4776,63431,269,7406,638,12035,1923,73590,6922,437,2089,5349,1431,9586,1001,13854,861,26388,226,15093,72,10733,2,0,0,0,1,0
건설업,97391,85693,11698,902802,787197,115605,89132,679755,4251,148657,4008,74390,65608,506706,313743,16745,56321,114228,20642,136261,11874,158303,6236,182229,1384,91994,763,123214,109,40756,48,31578,14,24239
도매및소매업,858619,516649,341970,2618346,1428754,1189592,812800,2000987,7984,198390,37835,418969,1027863,1106565,309354,174564,765578,1389597,62517,389446,19594,255294,8104,228925,1691,114258,959,149573,122,45419,43,27838,11,17996
운수및창고업,343986,328725,15261,976105,878538,97567,334443,712811,1880,112275,7663,151019,328443,551228,44157,52277,325611,354559,7530,48871,4441,59687,3330,101457,1604,111914,1311,210033,107,40204,46,30981,6,18399
숙박및음식점업,628624,215104,413520,1755201,590547,1164654,621104,1611919,441,31188,7079,112094,901318,363774,455516,34593,565444,1174874,50744,307623,9188,116645,2571,74815,518,34699,123,19381,18,7087,13,9167,5,10910
정보통신업,24306,20896,3410,432928,309066,123862,20305,260557,1399,104905,2602,67466,8628,385045,31841,7414,11226,27474,5629,36274,3225,43129,2547,77123,948,65408,590,93419,81,30438,46,31721,14,27942
금융및보험업,38408,34086,4322,692071,328390,363681,9774,76831,2684,149229,25950,466011,5755,411016,19321,255979,10034,23447,9215,64526,10329,136554,6685,205782,1596,102232,405,63266,81,30864,40,28371,23,37029
부동산업,114083,80713,33370,411358,278063,133295,109750,345575,972,23758,3361,42025,96868,259348,36353,18789,95245,153880,11019,71535,5230,68628,2087,59524,346,22691,131,19657,13,5276,8,5143,4,5024
전문과학및기술서비스업,67721,60525,7196,732048,513475,218573,58348,382444,3582,196255,5791,153349,49577,638603,36685,7183,41064,96054,15564,97684,5798,76232,3292,98034,1085,74739,673,111670,142,55084,63,41932,40,80619
사업시설관리사업지원및임대서비스업,46231,33725,12506,745494,405780,339714,37055,440274,2217,152513,6959,152707,31069,539229,127382,47814,31626,62548,5582,35730,3349,44962,3083,93659,1155,80356,1002,168824,249,94199,146,99317,39,65899
공공행정국방및사회보장행정,11665,11263,402,657680,461945,195735,11596,655033,10,1368,59,1279,1,550614,103696,3369,2106,4150,1314,9783,3540,50682,2563,77243,1021,68170,618,105842,235,91132,194,137701,74,112977
교육서비스업,162601,75163,87438,1363740,526394,837346,156406,1154032,572,72930,5623,136778,148713,899907,213532,101588,121770,219092,17953,114098,8938,120944,7153,225573,5697,394801,886,115058,82,32685,66,45486,56,96003
보건업및사회복지서비스업,99899,59612,40287,981216,230032,751184,97447,807622,245,38206,2207,135388,82696,801711,74701,22108,52678,159431,29899,187665,10821,140039,4169,126138,1525,103953,632,96207,60,22852,59,41470,56,103461
예술스포츠및여가관련서비스업,101955,60347,41608,321267,178006,143261,100775,273183,199,15355,981,32729,123691,98365,76086,23125,94729,166806,4400,27105,1362,18022,852,25691,291,20131,298,47582,16,6253,3,2051,4,7626
협회및단체수리및기타개인서비스업,358751,209077,149674,783349,419922,363427,352593,719040,553,16356,5605,47953,312045,340674,82313,48317,334760,493230,15309,96410,5801,75406,2305,66757,443,29293,126,18016,5,1731,0,0,2,0
