산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,4103172,2526745,1576427,22234776,12594500,9640276,3843283,15590739,52687,2759283,207202,3884754,4007864,14368925,2888527,969460,3274152,5878444,491200,3157255,186654,2459688,100961,2998730,31235,2133060,14907,2333320,2092,792143,1275,883140,696,1598996
농업임업및어업,4261,3640,621,42324,30382,11942,3447,27628,190,4069,624,10627,0,32453,6922,2949,2115,4720,1099,7224,556,7557,381,11422,75,5291,32,4477,2,0,1,0,0,0
광업,1916,1706,210,14998,12927,2071,1717,9379,58,1862,141,3757,1864,12186,837,111,1336,2777,255,1781,137,1986,161,4754,20,1354,3,373,2,0,2,0,0,0
제조업,437024,345690,91334,4105871,3048514,1057357,409504,2583550,11338,680784,16182,841537,389554,3430196,264291,21830,276695,578742,91203,620610,33700,455332,24585,733081,6823,467925,3343,529992,354,134083,200,134992,121,451114
전기가스증기및공기조절공급업,2343,1965,378,64066,53846,10220,1471,6704,74,11302,798,46060,695,62227,1048,96,1453,2579,271,1778,103,1434,227,7834,171,12041,84,14713,21,8004,5,3524,8,12159
수도하수및폐기물처리원료재생업,8972,7456,1516,108906,91434,17472,7590,79285,326,9851,1056,19770,3293,99945,5286,382,4156,9706,2007,13148,1308,17790,1130,35272,282,18582,86,12555,2,0,0,0,1,0
건설업,142840,115489,27351,1481673,1273953,207720,135714,1187526,3279,212505,3847,81642,91623,664479,668339,57232,78121,179504,33435,219613,19689,257551,8149,235165,1859,123276,1210,195085,208,76356,109,73904,60,121219
도매및소매업,1027109,601495,425614,3250867,1719231,1531636,954514,2444287,12204,283280,60391,523300,1081512,1664431,343463,161461,893541,1624686,93259,581971,26692,346971,10394,296282,2053,138196,1008,154947,105,39230,39,29182,18,39402
운수및창고업,400282,373243,27039,1145752,991823,153929,388651,803544,2133,139515,9498,202693,374654,597978,59505,113615,375916,407047,10048,65839,6280,83883,4648,141780,1839,124508,1390,209905,102,37194,42,29783,17,45813
숙박및음식점업,766315,302073,464242,2326716,857592,1469124,742625,2051900,1766,32771,21924,242045,1051690,678868,577111,19047,656577,1372738,87580,540034,17634,220541,3749,107588,581,37525,148,23663,27,10227,15,10025,4,4375
정보통신업,43888,36056,7832,599006,412243,186763,39141,368204,1524,142614,3223,88188,15052,543782,29916,10256,25787,52253,8259,53431,4653,61655,3171,95556,1084,75110,748,123062,114,43438,47,31661,25,62840
금융및보험업,43568,36008,7560,711494,313206,398288,12257,77655,3305,174615,28006,459224,6169,450329,16929,238067,13843,30346,10824,74410,10505,138461,6442,196676,1347,86252,447,68336,80,30980,48,32895,32,53138
부동산업,160152,101703,58449,520591,324435,196156,151708,400513,1397,46832,7047,73246,124353,341437,29365,25436,135737,217167,15830,101578,6136,79175,2001,56849,257,17143,155,24190,18,7010,11,7254,7,10225
전문과학및기술서비스업,112302,94618,17684,1075234,723633,351601,96301,528511,5975,287588,10026,259135,69830,949151,47810,8443,72764,152307,23399,149854,8998,117263,4637,136485,1337,90806,822,132681,184,69539,112,76135,49,150164
사업시설관리사업지원및임대서비스업,70542,49964,20578,1187986,632782,555204,58906,568881,2952,385952,8684,233153,41163,940397,163895,42531,48508,91303,8805,56534,5032,68079,4410,132194,1685,115913,1417,240492,320,121832,266,184106,99,177533
공공행정국방및사회보장행정,12521,11471,1050,734566,473243,261323,12247,720870,41,8140,233,5556,0,667236,64872,2458,1735,3323,1490,10468,3249,47971,3751,109802,1042,71129,736,121138,240,94488,189,134978,89,141269
교육서비스업,189800,82558,107242,1630311,595618,1034693,178266,1187038,1903,154734,9631,288539,164451,1106913,237969,120978,139456,251217,23826,151812,10320,138673,8515,263651,6256,437771,1142,146028,125,47637,89,62397,71,131125
보건업및사회복지서비스업,147452,79586,67866,1902052,361606,1540446,136721,1404549,1883,124333,8848,373170,113726,1527673,197393,63260,58938,171115,50392,322442,22252,292768,10323,310808,3623,248992,1592,250915,153,57122,90,63560,89,184330
예술스포츠및여가관련서비스업,121639,68940,52699,442046,228077,213969,118120,361232,593,25749,2926,55065,133631,170625,100242,37548,106109,184549,10480,65866,2823,36846,1386,40945,430,30144,370,56113,28,10388,8,5264,5,11931
협회및단체수리및기타개인서비스업,410246,213084,197162,890317,449955,440362,394383,779483,1746,32787,14117,78047,344604,428619,73334,43760,381365,542365,18738,118862,6587,85752,2901,82586,471,31102,174,24655,7,2399,2,0,1,0
