산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,본사본점등사업체,본사본점등종사자,공장지사영업소사업체,공장지사영업소종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,300명이상500명미만사업체,300명이상500명미만종사자,500명이상1000명미만사업체,500명이상1000명미만종사자,1000명이상사업체,1000명이상종사자
전체,3676859,2287964,1388895,19173387,11089577,8083810,3468383,13542020,44236,2353636,164240,3277731,3732286,12220310,2362557,858234,3005238,5377943,384596,2443380,155266,2053749,86940,2600910,27976,1926370,13395,2091143,1815,689070,1073,728201,560,1262621
농업임업및어업,2655,2379,276,34202,25184,9018,2019,21610,142,3872,494,8720,8,24468,6725,3001,979,2154,690,4715,529,7065,363,10920,67,4625,25,3380,0,0,2,0,0,0
광업,1881,1679,202,15415,13450,1965,1700,10010,55,1709,126,3696,1974,12156,1183,102,1286,3112,235,1559,189,2573,145,4132,19,1285,3,382,2,0,2,0,0,0
제조업,382575,309601,72974,3825678,2826468,999210,360052,2372908,9620,674723,12903,778047,364644,3203250,240594,17190,245173,497537,71482,468513,32625,440666,22760,687288,6316,436546,3522,558070,389,146125,185,124725,123,466208
전기가스증기및공기조절공급업,1121,1072,49,53595,46887,6708,347,3083,57,10915,717,39597,107,52491,893,104,409,978,182,1217,65,870,214,7258,151,10518,70,12452,15,5116,10,6421,5,8765
수도하수및폐기물처리원료재생업,7565,6553,1012,95103,80886,14217,6468,72800,279,7478,818,14825,2704,86168,5475,756,3311,7835,1688,11112,1245,16958,997,30371,250,16551,72,10745,1,0,0,0,1,0
건설업,118767,100520,18247,1045603,905905,139698,111573,811606,3406,158128,3788,75869,73513,574770,376573,20747,72975,150645,25135,163757,12502,164394,5626,163575,1454,98045,836,134494,134,49665,66,43101,39,77927
도매및소매업,957058,562558,394500,2885740,1558072,1327668,899828,2212634,9869,220160,47361,452946,1068863,1348754,307473,160650,849228,1530829,72693,452588,22934,299517,9360,263816,1726,115853,989,155363,82,30352,38,25844,8,11578
운수및창고업,371628,350650,20978,1015915,898498,117417,361440,743048,2049,119009,8139,153858,351557,537019,38844,88495,351581,382864,8350,53957,4856,64987,3759,114766,1669,115888,1277,199220,95,36305,35,22032,6,25896
숙박및음식점업,685669,249025,436644,1986673,711307,1275366,672490,1794366,913,27339,12266,164968,960084,459913,542163,24513,605700,1259000,63667,390137,12224,154091,3214,92365,668,44295,157,24011,23,9002,11,7175,5,6597
정보통신업,35290,29722,5568,509785,356728,153057,31332,318783,1259,114383,2699,76619,12944,457600,30196,9045,19596,41587,7056,45664,3958,52661,2810,85970,1043,72658,663,104898,101,39171,40,25778,23,41398
금융및보험업,41609,35909,5700,707246,326765,380481,10154,70423,3432,163985,28023,472838,5799,433276,18249,249922,11623,26550,10270,71568,10731,141168,6991,217378,1456,92584,391,60164,79,29875,39,26220,29,41739
부동산업,119832,80746,39086,421102,274043,147059,113851,336884,1012,31552,4969,52666,95804,275072,29285,20941,99685,163520,12287,79319,5506,71847,1924,54465,275,18496,131,20097,15,5760,7,5068,2,0
전문과학및기술서비스업,87868,76517,11351,865241,599420,265821,75469,427448,4533,246037,7866,191756,58384,767075,33500,6282,56126,122049,18556,116975,7035,92131,3977,118192,1231,84989,656,105097,152,57527,93,63985,42,104296
사업시설관리사업지원및임대서비스업,59755,43448,16307,983585,527746,455839,49257,552826,2805,255456,7693,175303,35511,755023,152137,40914,40200,78335,7669,48913,4319,58125,4169,127300,1543,106650,1285,216320,297,113850,213,142795,60,91297
공공행정국방및사회보장행정,12027,11441,586,645053,449879,195174,11824,635019,36,6676,167,3358,1,578555,64078,2419,1888,3569,1492,10654,3839,55824,2831,83778,861,58634,634,105262,226,86905,182,127421,74,113006
교육서비스업,173740,80399,93341,1498539,567376,931163,163902,1079221,1515,159851,8323,259467,152370,1015304,224317,106548,131248,233110,18666,118846,9032,121820,7306,226125,6101,431760,1142,146594,97,38235,80,56853,68,125196
보건업및사회복지서비스업,127925,70023,57902,1367805,285551,1082254,120176,1012490,1497,103249,6252,252066,105450,1117515,117988,26852,61759,186290,40843,255350,15247,198688,6466,195429,2313,160308,1086,166118,78,29241,64,43559,69,132822
예술스포츠및여가관련서비스업,104222,59699,44523,359129,191716,167413,102327,298682,338,20979,1557,39468,119286,124791,87370,27682,94015,164673,6395,39834,1985,26003,1139,34149,337,23663,321,49419,22,8518,3,2183,5,10687
협회및단체수리및기타개인서비스업,385672,216023,169649,857978,443696,414282,374174,768179,1419,28135,10079,61664,323283,397110,85514,52071,358456,523306,17240,108702,6445,84361,2889,83633,496,33022,135,19057,7,2269,3,2094,1,0
