산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,다사업사업체,다사업체종사자,300명이상사업체,300명이상종사자
전체,3861792,0.624,0.376,20201270,0.576,0.424,0.942,0.697,0.192,0.635,0.125,0.048,0.809,0.277,0.112,0.137,0.043,0.107,0.024,0.139,0.008,0.103,0.004,0.108,0.058,0.303,0.001,0.13
농업임업및어업,3289,0.865,0.135,39490,0.741,0.259,0.787,0.647,0.0,0.714,0.206,0.08,0.395,0.074,0.283,0.157,0.161,0.182,0.127,0.321,0.026,0.149,0.008,0.085,0.213,0.353,0.001,0.03
광업,2006,0.891,0.109,15663,0.868,0.132,0.91,0.664,0.133,0.791,0.06,0.016,0.684,0.2,0.138,0.119,0.088,0.156,0.074,0.268,0.012,0.11,0.001,0.031,0.09,0.336,0.001,0.117
제조업,428643,0.801,0.199,4102259,0.741,0.259,0.945,0.636,0.098,0.833,0.061,0.007,0.643,0.139,0.193,0.134,0.081,0.114,0.056,0.177,0.016,0.114,0.008,0.138,0.055,0.364,0.002,0.184
전기가스수도하수,9918,0.856,0.144,159347,0.85,0.15,0.794,0.511,0.022,0.93,0.044,0.004,0.456,0.066,0.217,0.089,0.132,0.112,0.132,0.255,0.044,0.184,0.016,0.163,0.206,0.489,0.003,0.13
건설업,133797,0.824,0.176,1317337,0.87,0.13,0.954,0.799,0.063,0.497,0.412,0.028,0.601,0.129,0.211,0.139,0.105,0.141,0.057,0.171,0.015,0.102,0.008,0.142,0.046,0.201,0.002,0.176
도매및소매업,1015117,0.591,0.409,3129601,0.543,0.457,0.941,0.767,0.354,0.49,0.1,0.056,0.881,0.52,0.081,0.164,0.024,0.102,0.01,0.091,0.002,0.042,0.001,0.053,0.059,0.233,0.0,0.027
운수및창고업,379388,0.937,0.063,1096051,0.882,0.118,0.971,0.715,0.326,0.558,0.04,0.076,0.942,0.356,0.023,0.053,0.014,0.065,0.012,0.126,0.005,0.116,0.004,0.192,0.029,0.285,0.0,0.091
숙박및음식점업,710248,0.379,0.621,2114297,0.364,0.636,0.974,0.883,0.468,0.271,0.248,0.014,0.869,0.598,0.104,0.215,0.02,0.085,0.005,0.049,0.001,0.029,0.0,0.014,0.026,0.117,0.0,0.01
정보통신업,42425,0.834,0.166,562946,0.701,0.299,0.901,0.64,0.027,0.895,0.058,0.02,0.575,0.09,0.194,0.094,0.109,0.109,0.075,0.172,0.027,0.139,0.016,0.199,0.099,0.36,0.004,0.197
금융및보험업,42192,0.859,0.141,745257,0.443,0.557,0.236,0.093,0.007,0.599,0.03,0.363,0.274,0.035,0.269,0.105,0.239,0.179,0.169,0.3,0.036,0.132,0.009,0.085,0.764,0.907,0.004,0.164
부동산업시설관리지원임대,197747,0.681,0.319,1591993,0.572,0.428,0.908,0.628,0.089,0.736,0.128,0.046,0.772,0.167,0.117,0.094,0.054,0.088,0.034,0.127,0.011,0.095,0.008,0.169,0.092,0.372,0.004,0.26
전문과학및기술서비스업,102866,0.857,0.143,998123,0.685,0.315,0.866,0.504,0.066,0.879,0.044,0.012,0.641,0.143,0.209,0.137,0.081,0.11,0.045,0.135,0.013,0.09,0.007,0.125,0.134,0.496,0.003,0.259
교육서비스업,175800,0.457,0.543,1563848,0.368,0.632,0.943,0.717,0.099,0.681,0.148,0.072,0.748,0.148,0.109,0.078,0.054,0.083,0.046,0.159,0.035,0.279,0.007,0.1,0.057,0.283,0.002,0.153
보건업및사회복지서비스업,132553,0.553,0.447,1503360,0.201,0.799,0.931,0.731,0.072,0.82,0.085,0.023,0.45,0.118,0.335,0.186,0.129,0.15,0.054,0.143,0.02,0.124,0.009,0.127,0.069,0.269,0.002,0.152
오락문화및운동관련서비스업,101055,0.567,0.433,366766,0.525,0.475,0.976,0.823,0.315,0.373,0.223,0.089,0.887,0.428,0.071,0.123,0.022,0.081,0.012,0.101,0.004,0.068,0.003,0.139,0.024,0.177,0.0,0.06
기타공공수리및개인서비스업,384748,0.55,0.45,894932,0.499,0.501,0.969,0.888,0.358,0.464,0.11,0.068,0.924,0.569,0.047,0.127,0.018,0.1,0.01,0.121,0.002,0.052,0.0,0.024,0.031,0.112,0.0,0.007
