산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,다사업사업체,다사업체종사자,300명이상사업체,300명이상종사자
전체,3800743,0.622,0.378,19250731,0.574,0.426,0.941,0.697,0.197,0.635,0.121,0.046,0.815,0.29,0.109,0.136,0.042,0.108,0.023,0.137,0.007,0.099,0.003,0.105,0.059,0.303,0.001,0.124
농업임업및어업,3159,0.877,0.123,36034,0.741,0.259,0.789,0.647,0.0,0.717,0.194,0.089,0.399,0.08,0.286,0.167,0.164,0.192,0.122,0.322,0.021,0.126,0.008,0.091,0.211,0.353,0.0,0.022
광업,2002,0.892,0.108,15642,0.872,0.128,0.907,0.665,0.126,0.793,0.072,0.008,0.678,0.211,0.15,0.129,0.087,0.158,0.072,0.269,0.008,0.075,0.002,0.04,0.093,0.335,0.001,0.117
제조업,409232,0.803,0.197,3981938,0.741,0.259,0.939,0.626,0.096,0.839,0.061,0.005,0.638,0.135,0.193,0.13,0.084,0.115,0.059,0.182,0.016,0.114,0.009,0.139,0.061,0.374,0.002,0.184
전기가스수도하수,9668,0.866,0.134,154575,0.85,0.15,0.789,0.507,0.021,0.935,0.04,0.004,0.446,0.066,0.225,0.092,0.137,0.117,0.13,0.252,0.043,0.184,0.015,0.15,0.211,0.493,0.003,0.139
건설업,129667,0.834,0.166,1103794,0.867,0.133,0.942,0.78,0.072,0.545,0.353,0.03,0.615,0.153,0.216,0.164,0.102,0.158,0.047,0.161,0.011,0.088,0.007,0.13,0.058,0.22,0.002,0.146
도매및소매업,993971,0.591,0.409,3007745,0.541,0.459,0.937,0.767,0.361,0.482,0.104,0.053,0.885,0.53,0.079,0.163,0.024,0.102,0.01,0.091,0.002,0.04,0.001,0.051,0.063,0.233,0.0,0.023
운수및창고업,379044,0.937,0.063,1049058,0.88,0.12,0.971,0.729,0.34,0.523,0.04,0.097,0.943,0.373,0.024,0.055,0.014,0.067,0.011,0.119,0.005,0.114,0.003,0.192,0.029,0.271,0.0,0.079
숙박및음식점업,702596,0.371,0.629,2067166,0.36,0.64,0.976,0.891,0.47,0.246,0.271,0.012,0.878,0.623,0.098,0.204,0.019,0.08,0.005,0.045,0.001,0.024,0.0,0.012,0.024,0.109,0.0,0.011
정보통신업,40304,0.837,0.163,528102,0.704,0.296,0.899,0.637,0.027,0.901,0.055,0.017,0.576,0.092,0.197,0.097,0.106,0.107,0.074,0.17,0.026,0.137,0.017,0.204,0.101,0.363,0.004,0.193
금융및보험업,41969,0.857,0.143,705824,0.456,0.544,0.265,0.109,0.008,0.62,0.027,0.345,0.291,0.039,0.243,0.1,0.256,0.202,0.164,0.3,0.034,0.129,0.009,0.084,0.735,0.891,0.004,0.146
부동산업시설관리지원임대,192831,0.687,0.313,1470640,0.571,0.429,0.91,0.631,0.094,0.739,0.123,0.044,0.781,0.178,0.114,0.096,0.052,0.09,0.033,0.127,0.01,0.091,0.007,0.165,0.09,0.369,0.003,0.253
전문과학및기술서비스업,96865,0.862,0.138,930441,0.692,0.308,0.861,0.49,0.067,0.892,0.033,0.008,0.647,0.145,0.21,0.138,0.078,0.106,0.043,0.132,0.013,0.089,0.007,0.123,0.139,0.51,0.003,0.265
교육서비스업,175606,0.461,0.539,1513769,0.376,0.624,0.941,0.723,0.101,0.678,0.149,0.073,0.757,0.156,0.106,0.078,0.052,0.082,0.043,0.156,0.034,0.282,0.007,0.097,0.059,0.277,0.001,0.148
보건업및사회복지서비스업,134208,0.539,0.461,1466397,0.204,0.796,0.935,0.741,0.074,0.82,0.083,0.023,0.471,0.13,0.323,0.185,0.122,0.146,0.054,0.151,0.019,0.118,0.009,0.121,0.065,0.259,0.002,0.148
오락문화및운동관련서비스업,103977,0.571,0.429,362955,0.531,0.469,0.979,0.829,0.32,0.356,0.239,0.085,0.897,0.449,0.065,0.117,0.02,0.076,0.011,0.096,0.003,0.063,0.003,0.138,0.021,0.171,0.0,0.061
기타공공수리및개인서비스업,385644,0.556,0.444,856651,0.518,0.482,0.97,0.893,0.377,0.472,0.096,0.055,0.929,0.609,0.046,0.13,0.017,0.098,0.007,0.097,0.001,0.038,0.0,0.023,0.03,0.107,0.0,0.005
