산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,다사업사업체,다사업체종사자,300명이상사업체,300명이상종사자
전체,3664832,0.621,0.379,18528334,0.574,0.426,0.943,0.697,0.201,0.628,0.124,0.046,0.82,0.29,0.105,0.131,0.041,0.108,0.023,0.136,0.007,0.101,0.003,0.107,0.057,0.303,0.001,0.127
농업임업및어업,2655,0.896,0.104,34202,0.736,0.264,0.76,0.632,0.0,0.715,0.197,0.088,0.369,0.063,0.26,0.138,0.199,0.207,0.137,0.319,0.025,0.135,0.009,0.099,0.24,0.368,0.001,0.039
광업,1881,0.893,0.107,15415,0.873,0.127,0.904,0.649,0.128,0.789,0.077,0.007,0.684,0.202,0.125,0.101,0.1,0.167,0.077,0.268,0.01,0.083,0.002,0.025,0.096,0.351,0.002,0.154
제조업,382575,0.809,0.191,3825678,0.739,0.261,0.941,0.62,0.095,0.837,0.063,0.004,0.641,0.13,0.187,0.122,0.085,0.115,0.059,0.18,0.017,0.114,0.009,0.146,0.059,0.38,0.002,0.193
전기가스수도하수,8686,0.878,0.122,148698,0.859,0.141,0.785,0.51,0.019,0.932,0.043,0.006,0.428,0.059,0.215,0.083,0.151,0.12,0.139,0.253,0.046,0.182,0.016,0.156,0.215,0.49,0.004,0.147
건설업,118767,0.846,0.154,1045603,0.866,0.134,0.939,0.776,0.07,0.55,0.36,0.02,0.614,0.144,0.212,0.157,0.105,0.157,0.047,0.156,0.012,0.094,0.007,0.129,0.061,0.224,0.002,0.163
도매및소매업,957058,0.588,0.412,2885740,0.54,0.46,0.94,0.767,0.37,0.467,0.107,0.056,0.887,0.53,0.076,0.157,0.024,0.104,0.01,0.091,0.002,0.04,0.001,0.054,0.06,0.233,0.0,0.023
운수및창고업,371628,0.944,0.056,1015915,0.884,0.116,0.973,0.731,0.346,0.529,0.038,0.087,0.946,0.377,0.022,0.053,0.013,0.064,0.01,0.113,0.004,0.114,0.003,0.196,0.027,0.269,0.0,0.083
숙박및음식점업,685669,0.363,0.637,1986673,0.358,0.642,0.981,0.903,0.483,0.231,0.273,0.012,0.883,0.634,0.093,0.196,0.018,0.078,0.005,0.046,0.001,0.022,0.0,0.012,0.019,0.097,0.0,0.011
정보통신업,35290,0.842,0.158,509785,0.7,0.3,0.888,0.625,0.025,0.898,0.059,0.018,0.555,0.082,0.2,0.09,0.112,0.103,0.08,0.169,0.03,0.143,0.019,0.206,0.112,0.375,0.005,0.209
금융및보험업,41609,0.863,0.137,707246,0.462,0.538,0.244,0.1,0.008,0.613,0.026,0.353,0.279,0.038,0.247,0.101,0.258,0.2,0.168,0.307,0.035,0.131,0.009,0.085,0.756,0.9,0.004,0.138
부동산업시설관리지원임대,179587,0.692,0.308,1404687,0.571,0.429,0.908,0.633,0.093,0.733,0.129,0.044,0.779,0.172,0.111,0.091,0.055,0.093,0.034,0.129,0.01,0.089,0.008,0.168,0.092,0.367,0.003,0.257
전문과학및기술서비스업,87868,0.871,0.129,865241,0.693,0.307,0.859,0.494,0.067,0.887,0.039,0.007,0.639,0.141,0.211,0.135,0.08,0.106,0.045,0.137,0.014,0.098,0.007,0.121,0.141,0.506,0.003,0.261
교육서비스업,173740,0.463,0.537,1498539,0.379,0.621,0.943,0.72,0.102,0.678,0.15,0.071,0.755,0.156,0.107,0.079,0.052,0.081,0.042,0.151,0.035,0.288,0.007,0.098,0.057,0.28,0.001,0.147
보건업및사회복지서비스업,127925,0.547,0.453,1367805,0.209,0.791,0.939,0.74,0.077,0.817,0.086,0.02,0.483,0.136,0.319,0.187,0.119,0.145,0.051,0.143,0.018,0.117,0.008,0.121,0.061,0.26,0.002,0.15
오락문화및운동관련서비스업,104222,0.573,0.427,359129,0.534,0.466,0.982,0.832,0.332,0.347,0.243,0.077,0.902,0.459,0.061,0.111,0.019,0.072,0.011,0.095,0.003,0.066,0.003,0.138,0.018,0.168,0.0,0.06
기타공공수리및개인서비스업,385672,0.56,0.44,857978,0.517,0.483,0.97,0.895,0.377,0.463,0.1,0.061,0.929,0.61,0.045,0.127,0.017,0.098,0.007,0.097,0.001,0.038,0.0,0.022,0.03,0.105,0.0,0.007
