산업분류,사업체수,남대표,여대표,종사자합,종사자남,종사자여,단독사업체사업체,단독사업체종사자,자영업자무급가족,상용종사자,일용근로자,기타종사자,1명이상5명미만사업체,1명이상5명미만종사자,5명이상10명미만사업체,5명이상10명미만종사자,10명이상20명미만사업체,10명이상20명미만종사자,20명이상50명미만사업체,20명이상50명미만종사자,50명이상100명미만사업체,50명이상100명미만종사자,100명이상300명미만사업체,100명이상300명미만종사자,다사업사업체,다사업체종사자,300명이상사업체,300명이상종사자
전체,3458120,0.624,0.376,17456708,0.582,0.418,0.947,0.702,0.207,0.617,0.128,0.047,0.832,0.298,0.091,0.118,0.042,0.11,0.023,0.137,0.007,0.1,0.003,0.107,0.053,0.298,0.001,0.131
농업임업및어업,2363,0.915,0.085,31235,0.748,0.252,0.768,0.629,0.001,0.701,0.203,0.095,0.375,0.065,0.242,0.127,0.203,0.203,0.138,0.301,0.031,0.164,0.011,0.113,0.232,0.371,0.0,0.025
광업,1781,0.9,0.1,15428,0.873,0.127,0.906,0.634,0.129,0.784,0.076,0.012,0.679,0.192,0.122,0.095,0.114,0.18,0.07,0.235,0.011,0.088,0.002,0.031,0.094,0.366,0.002,0.178
제조업,351346,0.817,0.183,3625989,0.737,0.263,0.947,0.621,0.096,0.831,0.069,0.004,0.65,0.131,0.17,0.111,0.091,0.118,0.061,0.176,0.017,0.114,0.009,0.145,0.053,0.379,0.002,0.206
전기가스수도하수,7505,0.893,0.107,139480,0.859,0.141,0.775,0.503,0.017,0.929,0.05,0.005,0.398,0.054,0.22,0.079,0.158,0.117,0.151,0.251,0.05,0.183,0.018,0.161,0.225,0.497,0.004,0.155
건설업,106059,0.86,0.14,1117786,0.879,0.121,0.943,0.764,0.06,0.515,0.406,0.019,0.582,0.113,0.209,0.132,0.122,0.153,0.059,0.164,0.015,0.097,0.009,0.139,0.057,0.236,0.003,0.201
도매및소매업,901399,0.595,0.405,2689305,0.54,0.46,0.946,0.779,0.388,0.442,0.108,0.061,0.897,0.549,0.067,0.143,0.024,0.103,0.009,0.09,0.002,0.041,0.001,0.048,0.054,0.221,0.0,0.025
운수및창고업,354142,0.951,0.049,998457,0.887,0.113,0.973,0.713,0.337,0.544,0.042,0.077,0.948,0.367,0.02,0.047,0.013,0.064,0.01,0.111,0.004,0.104,0.004,0.204,0.027,0.287,0.0,0.102
숙박및음식점업,654892,0.354,0.646,1834978,0.348,0.652,0.985,0.916,0.508,0.228,0.251,0.013,0.908,0.679,0.07,0.158,0.017,0.075,0.004,0.046,0.001,0.019,0.0,0.012,0.015,0.084,0.0,0.011
정보통신업,29902,0.853,0.147,476412,0.712,0.288,0.871,0.624,0.022,0.896,0.061,0.021,0.496,0.072,0.224,0.092,0.129,0.107,0.094,0.18,0.032,0.141,0.02,0.199,0.129,0.376,0.005,0.208
금융및보험업,40814,0.881,0.119,726870,0.456,0.544,0.235,0.096,0.008,0.606,0.03,0.357,0.269,0.035,0.236,0.094,0.273,0.201,0.17,0.294,0.038,0.136,0.011,0.089,0.765,0.904,0.004,0.151
부동산업시설관리지원임대,170505,0.701,0.299,1266197,0.582,0.418,0.913,0.677,0.103,0.712,0.136,0.049,0.785,0.183,0.105,0.092,0.056,0.1,0.034,0.136,0.01,0.089,0.007,0.162,0.087,0.323,0.003,0.238
전문과학및기술서비스업,76792,0.883,0.117,788454,0.697,0.303,0.859,0.514,0.068,0.87,0.053,0.009,0.626,0.14,0.212,0.133,0.088,0.113,0.048,0.139,0.014,0.095,0.009,0.147,0.141,0.486,0.003,0.233
교육서비스업,170575,0.464,0.536,1438462,0.38,0.62,0.945,0.732,0.106,0.683,0.145,0.066,0.763,0.163,0.098,0.076,0.054,0.087,0.042,0.156,0.035,0.289,0.006,0.094,0.055,0.268,0.001,0.135
보건업및사회복지서비스업,114578,0.568,0.432,1159592,0.221,0.779,0.947,0.749,0.083,0.821,0.077,0.019,0.537,0.164,0.276,0.176,0.114,0.146,0.048,0.142,0.016,0.107,0.007,0.107,0.053,0.251,0.002,0.157
오락문화및운동관련서비스업,103675,0.586,0.414,332939,0.545,0.455,0.986,0.844,0.367,0.334,0.233,0.066,0.925,0.509,0.044,0.087,0.015,0.063,0.01,0.092,0.003,0.063,0.003,0.129,0.014,0.156,0.0,0.057
기타공공수리및개인서비스업,371792,0.569,0.431,815124,0.525,0.475,0.972,0.901,0.39,0.452,0.103,0.055,0.936,0.628,0.038,0.114,0.017,0.101,0.007,0.094,0.001,0.036,0.0,0.023,0.028,0.099,0.0,0.004
